U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.004421834,0.00432477,-0.0003173792,0.2491954,4.84917,0.04851992
-0.01208973,0.003854984,4.507831e-05,0.4502051,4.849529,0.04696015
-0.01954064,0.003366845,0.0001869053,0.6499777,4.850004,0.04661777
-0.02729329,0.004230888,0.000297911,0.8499634,4.850079,0.04659364
-0.03540261,0.004403797,0.000307728,1.049974,4.850092,0.04661242
-0.04462129,0.003783919,0.0002656484,1.249984,4.850098,0.04661917
-0.05343889,0.004626844,0.0003412942,1.44999,4.850101,0.04662035
-0.06348517,0.004996356,0.0003404347,1.649993,4.850102,0.04662159
-0.007704157,0.008400086,8.924615e-05,0.2930041,4.895383,0.2974352
-0.01507105,0.007002493,-0.0005987402,0.4956464,4.896688,0.2962248
-0.02217315,0.008598931,-5.453045e-06,0.6978132,4.900663,0.2951174
-0.03057714,0.008333058,0.0002460365,0.8988395,4.902912,0.2950332
-0.03872183,0.00918667,-3.18371e-05,1.099319,4.903785,0.2951338
-0.04768592,0.009626295,-8.369492e-05,1.2996,4.904113,0.2951888
-0.05719896,0.01050455,-0.0001483558,1.499769,4.904242,0.295211
-0.06770289,0.0114999,-8.863104e-05,1.699868,4.904291,0.295226
-0.0249723,0.002522805,-0.0002660213,0.7056813,4.755862,0.505877
-0.03006919,0.001334484,0.0003765834,0.9043984,4.762749,0.5039686
-0.03868768,0.002512464,4.304113e-05,1.100212,4.763899,0.5049573
-0.0472921,0.002709187,0.0001675733,1.299745,4.764307,0.5052925
-0.0569681,0.002934348,9.268425e-05,1.499815,4.764442,0.5054033
-0.06739487,0.003123059,0.0002394899,1.699895,4.764485,0.5054533
-0.007209898,0.007947578,-0.0001636081,0.2896779,4.894928,0.4993734
-0.01455278,0.006636792,-0.000372788,0.4917077,4.90031,0.4989561
-0.02134878,0.009539082,-0.0003094236,0.6947559,4.914187,0.4978207
-0.02964251,0.0092013,0.0003486432,0.8972504,4.923922,0.4970474
-0.03833574,0.0102321,0.0001004085,1.098389,4.927501,0.4969456
-0.04705858,0.01070802,0.0003410683,1.299019,4.928768,0.4969637
-0.05667647,0.01175967,0.0003344517,1.499408,4.929224,0.4969945
-0.06704666,0.01278829,0.0004276614,1.699649,4.929393,0.4970216
-0.02506951,0.002959532,0.0001502862,0.7035925,4.76271,0.7047138
-0.03057198,0.001912829,-0.0002165045,0.9062767,4.777102,0.7068454
-0.03916121,0.003361404,-0.0002328438,1.100387,4.779264,0.7069744
-0.04778871,0.003720389,-0.0001923224,1.299618,4.780079,0.7071223
-0.05752739,0.004052325,-0.000271224,1.499691,4.780359,0.7072221
-0.06802845,0.004433773,-0.0003065448,1.699813,4.780451,0.7072802
-0.007541946,0.00809169,2.150726e-05,0.2885906,4.895,0.6997132
-0.01463702,0.006169005,-0.0003550932,0.4899791,4.902737,0.6995764
-0.0212067,0.009672953,-0.0001847139,0.6924729,4.924131,0.6992946
-0.02973277,0.009814728,-3.070886e-05,0.895909,4.94122,0.6991332
-0.03850101,0.01091615,-0.0001098929,1.097529,4.947692,0.6991325
-0.04728606,0.01150057,-7.347732e-05,1.298448,4.950045,0.6991723
-0.05692733,0.01267785,-0.0001185072,1.499032,4.9509,0.6992147
-0.06735396,0.01385841,-0.0001319685,1.699412,4.951222,0.6992504
-0.0249511,0.003093521,-4.580992e-06,0.7044731,4.76387,0.9004332
-0.0304021,0.002045227,-1.604274e-05,0.9062561,4.77928,0.9007967
-0.03913071,0.003432445,-5.359158e-05,1.100399,4.782071,0.9009288
-0.04765975,0.003805897,-3.227835e-06,1.299582,4.783115,0.9010338
-0.0574187,0.004170695,-2.193292e-05,1.499644,4.783479,0.9011118
-0.0678738,0.004558437,1.362134e-05,1.699775,4.783604,0.9011601
-0.007538026,0.007946994,-6.969435e-05,0.2882519,4.895047,0.8998439
-0.01455761,0.006148954,-0.0001137944,0.4892845,4.903735,0.8997273
-0.02108693,0.009711037,-0.0001283099,0.6914641,4.92788,0.8996021
-0.02944689,0.00995781,4.194004e-05,0.8951028,4.947882,0.8995339
-0.03834242,0.01125965,2.794264e-05,1.096938,4.955839,0.8995329
-0.04707901,0.01184601,0.0001149202,1.298032,4.958865,0.89956
-0.05675926,0.01308879,0.0001118338,1.498748,4.960005,0.8995924
-0.06714702,0.01427924,0.0001526119,1.699225,4.960451,0.8996215
-0.02496202,0.003042696,-6.935498e-05,0.7047391,4.764286,1.099893
-0.03059137,0.002125731,-0.0001310657,0.9063038,4.78011,1.099897
-0.03916925,0.003491065,-9.172963e-05,1.100419,4.783132,1.099947
-0.04776091,0.003895299,-0.0001092956,1.299577,4.784289,1.100004
-0.05750246,0.004268922,-0.0001193045,1.499625,4.7847,1.10005
-0.06797659,0.004677967,-0.0001349308,1.699756,4.784845,1.100081
-0.007629049,0.008068216,-4.427882e-05,0.2881282,4.895073,1.099925
-0.0146154,0.005949393,-0.000101634,0.4889852,4.904116,1.099836
-0.0210976,0.009806395,-2.854021e-06,0.6910014,4.929232,1.09974
-0.02951566,0.0100677,-6.019088e-05,0.8946618,4.950336,1.099676
-0.03835144,0.01136614,-4.074268e-05,1.09658,4.958968,1.099662
-0.04712411,0.01201589,-4.295564e-05,1.297763,4.96235,1.099672
-0.05679764,0.01327979,-5.247811e-05,1.498556,4.963664,1.09969
-0.0671989,0.01450989,-5.831523e-05,1.699095,4.964193,1.099707
-0.02470015,0.002895442,-5.153954e-05,0.7048045,4.76442,1.299924
-0.03048091,0.002173226,-2.36987e-05,0.9063384,4.78039,1.299897
-0.03909916,0.00352265,-2.770932e-05,1.10044,4.783493,1.299908
-0.04768912,0.003913586,-6.129294e-06,1.299581,4.784695,1.29993
-0.05744185,0.00428885,-9.813742e-06,1.499619,4.785129,1.299949
-0.06790391,0.004693625,-1.624946e-06,1.699747,4.785285,1.299963
-0.007656783,0.007843848,-0.0001006368,0.2880765,4.895088,1.299972
-0.01448733,0.006027591,3.647131e-06,0.4888546,4.904257,1.299927
-0.02108514,0.009877475,-1.923418e-05,0.6908,4.929705,1.29987
-0.02947441,0.01011796,-3.52403e-06,0.8944503,4.951199,1.299827
-0.03829423,0.01142069,-4.493144e-06,1.096396,4.960105,1.299814
-0.04705514,0.01205938,1.178371e-05,1.297617,4.963649,1.299816
-0.0567329,0.01333043,1.052448e-05,1.498448,4.965051,1.299823
-0.06712185,0.01455571,1.8378e-05,1.699019,4.965626,1.299831
-0.02485074,0.002965815,-9.159272e-06,0.7048191,4.764451,1.5
-0.03051456,0.002178356,-4.78501e-06,0.9063491,4.780453,1.5
-0.0391627,0.003532789,-5.477205e-06,1.100448,4.783577,1.500001
-0.04774476,0.003933562,-5.493606e-06,1.299583,4.784791,1.500001
-0.05749696,0.004314485,-6.969174e-06,1.499618,4.785231,1.500001
-0.06796615,0.004727364,-8.861439e-06,1.699745,4.785392,1.500002
-0.007554538,0.007663087,-3.264488e-05,0.2880619,4.895092,1.5
-0.01453269,0.006038259,3.866188e-06,0.4888177,4.904293,1.5
-0.02111877,0.009880097,-6.704542e-06,0.6907429,4.929824,1.5
-0.02949385,0.01010831,-3.86716e-06,0.8943881,4.951414,1.500001
-0.03832516,0.01144351,-6.490478e-06,1.09634,4.960394,1.500002
-0.04709479,0.01209253,-7.566447e-06,1.297571,4.963985,1.500003
-0.0567741,0.01337376,-9.483993e-06,1.498414,4.965414,1.500005
-0.06717134,0.01461147,-1.195505e-05,1.698995,4.966005,1.500007
-0.02469513,0.002892877,4.416427e-05,0.7048044,4.76442,1.700076
-0.03047715,0.002176423,1.511669e-05,0.9063386,4.78039,1.700104
-0.03910101,0.003521457,1.737951e-05,1.10044,4.783493,1.700093
-0.04769044,0.00391146,-6.338112e-06,1.299581,4.784695,1.700073
-0.0574453,0.004286155,-5.634411e-06,1.49962,4.785129,1.700054
-0.06790842,0.004690352,-1.827003e-05,1.699748,4.785287,1.700042
-0.007712823,0.007832825,9.935047e-05,0.2880764,4.895088,1.700028
-0.01446054,0.006025194,-8.588582e-06,0.4888545,4.904257,1.700073
-0.02109458,0.009877182,1.253574e-05,0.6907999,4.929705,1.700131
-0.02947382,0.01011661,-4.957395e-06,0.8944505,4.951199,1.700175
-0.0382979,0.0114205,-4.577994e-06,1.096396,4.960105,1.70019
-0.04705827,0.01205867,-2.271259e-05,1.297618,4.96365,1.700192
-0.05673736,0.01332923,-2.411194e-05,1.498449,4.965054,1.700189
-0.06712763,0.01455475,-3.558859e-05,1.69902,4.965633,1.700186
-0.02496521,0.003043218,6.542045e-05,0.7047391,4.764286,1.900107
-0.03059317,0.002126289,0.0001223825,0.9063038,4.78011,1.900104
-0.03917369,0.003492538,8.300701e-05,1.100419,4.783132,1.900055
-0.0477662,0.003896902,9.843648e-05,1.299577,4.784289,1.899998
-0.05750977,0.004271261,0.0001058808,1.499626,4.784702,1.899954
-0.0679862,0.00468116,0.0001186933,1.699757,4.784849,1.899926
-0.007652025,0.008066633,6.415373e-05,0.2881281,4.895074,1.900075
-0.01462011,0.005942847,8.554962e-05,0.4889849,4.904116,1.900164
-0.02110109,0.009806135,-2.18892e-06,0.6910012,4.929233,1.900261
-0.02951752,0.01006707,5.084997e-05,0.8946617,4.950337,1.900327
-0.03835415,0.01136715,3.239606e-05,1.09658,4.95897,1.900344
-0.04712868,0.01201734,3.277881e-05,1.297764,4.962354,1.900338
-0.05680355,0.01328193,4.034553e-05,1.498557,4.963672,1.900327
-0.06720663,0.01451332,4.31387e-05,1.699096,4.964209,1.900318
-0.02495341,0.003092347,-7.383149e-07,0.7044731,4.76387,2.099567
-0.03040534,0.002044941,9.000193e-06,0.9062562,4.77928,2.099204
-0.03913475,0.003431855,4.573975e-05,1.100399,4.782072,2.099073
-0.04766582,0.003804635,-6.410781e-06,1.299582,4.783116,2.09897
-0.05742752,0.004169544,1.053027e-05,1.499645,4.783482,2.098894
-0.06788545,0.004556814,-2.776517e-05,1.699776,4.783609,2.098849
-0.00753726,0.007948923,5.888916e-05,0.2882518,4.895047,2.100156
-0.01455592,0.006147562,0.0001038474,0.4892843,4.903736,2.100273
-0.0210892,0.009711482,0.0001209841,0.6914638,4.927881,2.100399
-0.02944974,0.00995748,-4.962719e-05,0.8951027,4.947884,2.100469
-0.0383468,0.0112601,-3.702232e-05,1.096938,4.955843,2.100474
-0.04708568,0.01184639,-0.0001251769,1.298032,4.958872,2.100454
-0.05676865,0.01308956,-0.0001245974,1.498749,4.960019,2.100431
-0.06715981,0.01428057,-0.0001686137,1.699227,4.960476,2.100415
-0.02507253,0.002960789,-0.0001552335,0.7035925,4.76271,2.295287
-0.03057656,0.001912948,0.0002092309,0.9062767,4.777103,2.293156
-0.03916716,0.003362067,0.0002257237,1.100387,4.779265,2.293028
-0.04779746,0.003721335,0.0001832195,1.299618,4.78008,2.292882
-0.05753892,0.004053681,0.0002609311,1.499692,4.780362,2.292785
-0.06804436,0.004435905,0.0002935172,1.699814,4.780457,2.292731
-0.00753964,0.008095929,-2.555236e-05,0.2885907,4.895001,2.300287
-0.01463891,0.006167926,0.0003473962,0.4899791,4.902737,2.300424
-0.02120798,0.009674082,0.000178934,0.6924726,4.924132,2.300707
-0.02973659,0.009815573,2.462918e-05,0.8959089,4.941221,2.30087
-0.03850657,0.01091702,0.0001030657,1.097529,4.947695,2.300876
-0.04729439,0.01150216,6.574735e-05,1.298448,4.950053,2.300843
-0.05693835,0.01267981,0.0001094253,1.499032,4.950914,2.300813
-0.06736887,0.01386166,0.0001205501,1.699413,4.951248,2.300793
-0.02497259,0.002523045,0.0002636588,0.7056813,4.755863,2.494123
-0.03007397,0.001334535,-0.0003816944,0.9043983,4.762749,2.496032
-0.03869338,0.002512274,-4.676325e-05,1.100212,4.763899,2.495044
-0.04730121,0.002709437,-0.0001710784,1.299745,4.764308,2.49471
-0.05698093,0.002934278,-9.720656e-05,1.499816,4.764443,2.494601
-0.0674131,0.003122664,-0.0002459026,1.699896,4.764488,2.494554
-0.007207342,0.007949265,0.0001514969,0.2896771,4.894928,2.500629
-0.01455265,0.006636141,0.000367123,0.4917067,4.90031,2.501046
-0.02134947,0.009540701,0.0003046505,0.6947553,4.914188,2.502181
-0.02964665,0.009202153,-0.0003540437,0.8972501,4.923923,2.502956
-0.03834207,0.01023256,-0.0001048252,1.098389,4.927503,2.503061
-0.04706754,0.01070882,-0.0003473955,1.299019,4.928772,2.50305
-0.05668974,0.01176062,-0.0003416476,1.499408,4.929234,2.50303
-0.0670649,0.01278998,-0.0004365926,1.69965,4.929413,2.503018
-0.007694026,0.008408468,-9.981968e-05,0.2929933,4.895391,2.702575
-0.01506538,0.007004104,0.0005918306,0.4956413,4.896689,2.703777
-0.02217408,0.008600924,2.045399e-06,0.6978118,4.900665,2.704887
-0.03058038,0.008333004,-0.0002471526,0.8988388,4.902912,2.704967
-0.03872823,0.009187284,2.53049e-05,1.099319,4.903784,2.704867
-0.04769722,0.009626177,8.225674e-05,1.2996,4.904113,2.704815
-0.05721282,0.01050449,0.0001466487,1.49977,4.904243,2.7048
-0.06772161,0.01150008,8.553588e-05,1.699868,4.904297,2.704795
-0.004617732,0.004411301,-0.0002608144,0.2465196,4.846625,2.853566
-0.01269294,0.004791982,0.00062523,0.4493211,4.845063,2.855674
-0.01939866,0.005141006,0.0004051864,0.6497878,4.845434,2.856086
-0.02774827,0.005631651,0.001328126,0.8498672,4.845743,2.856044
-0.03553203,0.005804658,0.001830633,1.0499,4.845843,2.855957
-0.04436364,0.006302846,0.002526326,1.249939,4.845874,2.855922
-0.05347237,0.006563714,0.003101434,1.449966,4.845887,2.855916
-0.06299128,0.006848204,0.003927889,1.64998,4.845893,2.855916
-0.003985858,0.003980097,-0.0001755648,0.1743983,4.77437,0.0229302
-0.003540035,0.003399192,0.0003879301,0.1707413,4.770644,0.1742684
-0.004040067,0.002285611,0.0001883757,0.2251311,4.773719,0.02298038
-0.0126276,0.006620921,0.0007413327,0.3754861,4.77508,0.02206846
-0.005229569,0.001594741,0.0001042373,0.2489697,4.748634,0.1489332
-0.01018098,0.002168629,0.002100181,0.3497396,4.747631,0.149061
-0.01369892,-0.0007233147,4.508957e-05,0.4244999,4.775069,0.02205293
-0.02062616,0.008171769,0.0009634074,0.5755198,4.775097,0.02203703
-0.01225629,0.001205415,-0.0008022663,0.4499574,4.747383,0.1491073
-0.01727956,0.002719633,0.003020422,0.5500855,4.747494,0.149166
-0.02153716,-0.002232339,-0.0001251777,0.6244989,4.775104,0.02203957
-0.02952659,0.01104274,0.001214075,0.7755059,4.775115,0.02205118
-0.01936863,0.001285097,-0.002510965,0.6500596,4.747682,0.1492512
-0.02473114,0.003462093,0.004038698,0.7500206,4.747827,0.1493403
-0.03067787,-0.004088257,-0.0005637112,0.8244882,4.775116,0.02205468
-0.03886617,0.01328143,0.001387583,0.9755046,4.775117,0.02206303
-0.02711785,0.001107283,-0.004429145,0.8499687,4.747909,0.1494401
-0.03231107,0.003904141,0.005087514,0.9499521,4.747944,0.1495395
-0.04017613,-0.006004303,-0.0009531911,1.024488,4.775118,0.02206457
-0.04902748,0.01557184,0.001631262,1.175507,4.775118,0.02206634
-0.03509337,0.000892475,-0.005742165,1.049938,4.747959,0.149606
-0.04072023,0.004523663,0.006359622,1.149957,4.747966,0.149639
-0.05031591,-0.007862093,-0.001322091,1.22449,4.775118,0.0220666
-0.05953901,0.01797121,0.001932601,1.375508,4.775119,0.02206638
-0.04379102,0.0007135265,-0.007093335,1.249961,4.74797,0.1496528
-0.05004408,0.005299111,0.007934251,1.349984,4.747973,0.1496566
-0.06079814,-0.009715076,-0.001721527,1.424491,4.775119,0.02206638
-0.07106692,0.02009509,0.002204356,1.575508,4.775119,0.0220664
-0.05328112,0.0005222017,-0.008734263,1.449982,4.747975,0.1496574
-0.05971208,0.005907773,0.009244009,1.549998,4.747975,0.1496575
-0.07231139,-0.01144581,-0.002032073,1.624491,4.775119,0.02206648
-0.06301148,0.0003810928,-0.009797772,1.64999,4.747976,0.1496583
-0.07003868,0.006585231,0.01054279,1.750002,4.747976,0.1496595
-0.002064235,0.004423699,0.0001178348,0.173774,4.825116,0.02296241
-0.0066445,0.01233298,-0.0004595782,0.1752042,4.975473,0.02203692
-0.002179719,0.004496354,0.0008457987,0.1485999,4.84882,0.1488276
-0.001896112,0.009656438,-0.001713657,0.1474268,4.949529,0.1487823
-0.003481657,0.004096554,0.000220238,0.1706046,4.770494,0.2246081
-0.002952585,0.003080707,5.260884e-06,0.1703832,4.770305,0.3749516
-0.003475659,0.003413326,0.0002101372,0.1703721,4.770303,0.4249622
-0.002835427,0.003078168,0.0001791387,0.1703737,4.770288,0.574984
-0.003553325,0.003490832,0.0001850421,0.170381,4.770287,0.6249791
-0.002673188,0.002925529,0.0001682628,0.1703963,4.770283,0.7749903
-0.00369147,0.003827541,0.0001078599,0.1703997,4.770284,0.8249857
-0.002859189,0.002807372,1.294576e-06,0.1704026,4.770285,0.9749988
-0.004012369,0.003788079,0.0002226416,0.1704035,4.770284,1.024993
-0.003377758,0.003269444,0.0003753246,0.1704043,4.770283,1.175002
-0.003767958,0.00385147,0.0002904198,0.1704043,4.770283,1.224996
-0.003840836,0.003444105,0.0004193675,0.1704034,4.770284,1.375003
-0.004010278,0.004046345,0.0002653244,0.1704033,4.770284,1.424997
-0.003589296,0.003336132,-2.87789e-05,0.1704032,4.770284,1.575003
-0.003800588,0.004012604,-0.0002052231,0.1704033,4.770284,1.624997
-0.003740618,0.003646598,-0.0003199521,0.1704043,4.770283,1.775004
-0.003376488,0.003423554,-0.0003409479,0.1704043,4.770283,1.824998
-0.00406483,0.003738387,-0.0002774428,0.1704035,4.770284,1.975007
-0.002870836,0.002799425,-1.995457e-07,0.1704026,4.770284,2.025001
-0.003672354,0.003838186,-0.0001148962,0.1703997,4.770284,2.175014
-0.002663594,0.002929738,-0.0001880399,0.1703962,4.770283,2.22501
-0.003597592,0.00348104,-0.0002145265,0.1703809,4.770287,2.375021
-0.002838667,0.003074915,-0.0001735268,0.1703736,4.770288,2.425016
-0.003493407,0.003417524,-0.0002313087,0.1703674,4.770308,2.575038
-0.002960431,0.003080834,-1.60667e-05,0.1703727,4.770317,2.625048
-0.00348456,0.004097824,-0.0002492277,0.1706035,4.770541,2.775381
-0.003559883,0.003400252,-0.0004249736,0.1707935,4.770734,2.825689
-0.004008996,0.003982294,0.0001544031,0.1744527,4.77436,2.977059
-0.005229796,0.001591966,-0.0001030605,0.2490324,4.748668,2.850983
-0.01016808,0.002170894,-0.002108548,0.3497463,4.74762,2.850907
-0.004059132,0.002279519,-0.0001907882,0.2251443,4.773679,2.977015
-0.01262618,0.006621119,-0.0007438016,0.3754834,4.775079,2.97794
-0.01225322,0.001204008,0.0007973751,0.4499606,4.747373,2.850874
