U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.6874556,-0.01897145,0.003213273,1.647359,0.24946,0.2500652
-0.705131,-0.02565274,-0.001803028,1.646589,0.2496123,0.4499778
-0.712005,-0.02633779,-0.002795974,1.646475,0.2495246,0.6499956
-0.7148002,-0.02756391,-0.0003163518,1.646451,0.2494956,0.8500013
-0.7144955,-0.02645865,-4.853894e-05,1.646444,0.2494902,1.050001
-0.7146551,-0.02688073,7.801495e-05,1.646443,0.2494891,1.25
-0.7155436,-0.02679319,-0.0002138362,1.646442,0.249489,1.449999
-0.7115326,-0.02637772,-0.001490643,1.646442,0.2494892,1.649998
-0.7158094,-0.02771754,-0.0004993184,1.646443,0.2494898,1.849996
-0.7109981,-0.02676329,-0.001055154,1.646446,0.2494926,2.049997
-0.7106036,-0.02645995,-2.751487e-05,1.646459,0.2495054,2.250002
-0.7015685,-0.02509719,0.001617266,1.646507,0.2495602,2.45003
-0.6857332,-0.01877411,-0.001689587,1.646836,0.2495169,2.650001
-0.7013815,0.004445273,0.01214826,1.648466,0.2492439,2.850843
-0.6558956,0.01596705,0.02627743,1.646596,0.4516172,2.850115
-0.69641,-0.003053893,0.03543158,1.644483,0.649138,2.849444
-0.7018552,-0.001392558,0.03556768,1.644179,0.8490196,2.849678
-0.7014172,-0.009910191,0.04059058,1.644255,1.049049,2.849351
-0.703009,-0.007724642,0.0369444,1.644759,1.24902,2.847694
-0.6887536,-0.002498037,0.02892938,1.645123,1.448966,2.84656
-0.6913937,-0.00338315,0.0257799,1.644594,1.649048,2.848307
-0.6986325,0.0004146081,0.03243457,1.644162,1.848976,2.849618
-0.6967117,-0.0005191149,0.03386292,1.644125,2.048997,2.84974
-0.6858449,-0.001394837,0.03412723,1.644121,2.248998,2.849748
-0.6758521,0.0008189708,0.0370576,1.644122,2.448999,2.849755
-0.660112,0.00234197,0.03520828,1.644133,2.649006,2.849718
-0.6397919,0.003599971,0.04401812,1.64426,2.849038,2.849308
