env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 6.9286 1.2143 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 484 -1 -13
2 3 0 0 474 -3 -44
2 4 0 0 473 5 -8
2 5 0 0 476 1 -2
2 6 0 0 485 8 -16
2 7 0 0 476 9 -3
2 8 0 0 486 13 -15
2 9 0 0 477 16 -2
2 10 0 0 485 19 -14
2 11 0 0 478 22 -3
2 12 0 0 484 26 -14
2 13 0 0 479 29 -4
2 14 0 0 482 33 -13
2 15 0 0 479 35 -4
2 16 0 0 480 40 -12
2 17 0 0 479 42 -4
2 18 0 0 479 48 -11
2 19 0 0 479 48 -4
2 20 0 0 479 56 -11
2 21 0 0 479 55 -4
2 22 0 0 478 64 -10
2 23 0 0 480 62 -4
2 24 0 0 477 71 -9
2 25 0 0 479 69 -5
2 26 0 0 477 79 -8
2 27 0 0 479 77 -5
2 28 0 0 477 86 -8
2 29 0 0 479 84 -5
2 30 0 0 477 93 -7
2 31 0 0 479 91 -5
2 32 0 0 477 101 -7
2 33 0 0 480 97 -5
2 34 0 0 477 107 -7
2 35 0 0 480 102 -5
2 36 0 0 477 114 -7
2 37 0 0 480 107 -5
2 38 0 0 477 120 -7
2 39 0 0 480 112 -5
2 40 0 0 478 125 -8
2 41 0 0 480 116 -6
2 42 0 0 478 130 -8
2 43 0 0 480 120 -6
2 44 0 0 484 93 -6
2 45 0 0 480 123 -6
2 46 0 0 486 137 -8
2 47 0 0 480 126 -6
2 48 0 0 478 137 -9
2 49 0 0 479 129 -6
2 50 0 0 478 135 -9
2 51 0 0 489 95 -8
2 52 0 0 477 131 -10
2 53 0 0 478 126 -6
2 54 0 0 477 125 -10
2 55 0 0 479 121 -6
2 56 0 0 477 120 -10
2 57 0 0 480 115 -6
2 58 0 0 477 117 -10
2 59 0 0 480 112 -6
2 60 0 0 477 114 -10
2 61 0 0 480 109 -6
2 62 0 0 477 111 -10
2 63 0 0 480 107 -6
2 64 0 0 477 109 -10
2 65 0 0 480 105 -6
2 66 0 0 477 108 -9
2 67 0 0 480 104 -6
2 68 0 0 477 106 -9
2 69 0 0 480 102 -6
2 70 0 0 477 105 -9
2 71 0 0 480 102 -6
2 72 0 0 477 103 -9
2 73 0 0 480 101 -6
2 74 0 0 477 102 -9
2 75 0 0 480 101 -6
2 76 0 0 477 101 -9
