U:0,U:1,U:2,Points:0,Points:1,Points:2
0.03752475,0.5108226,0.04557211,0.2491984,0.2491822,0.04851202
0.01861918,0.5279162,0.06126738,0.450167,0.2493782,0.04689784
0.07866986,0.5477382,0.04682655,0.6499515,0.2495176,0.04650217
0.08692476,0.5263691,0.04419413,0.8499483,0.2494098,0.04642032
0.1265062,0.5247556,0.03991218,1.049975,0.2493636,0.04640163
0.1448097,0.5259236,0.04658377,1.249989,0.2493515,0.04639476
0.174442,0.522411,0.04772836,1.449995,0.2493473,0.04639286
0.1986178,0.5260136,0.0474258,1.649997,0.2493464,0.04639134
0.05752466,0.4441086,-0.002591906,0.2493824,0.4501694,0.04689754
0.09612024,0.4678881,-0.02785549,0.4989159,0.4989104,0.09641627
0.1156149,0.4880583,-0.01945946,0.6988965,0.4982953,0.09468164
0.1278897,0.5031155,-0.01035544,0.8991794,0.4975906,0.0939504
0.1473864,0.4982518,-0.001876606,1.099524,0.4971673,0.09372408
0.1579736,0.4930985,0.01108252,1.299733,0.4969725,0.09363378
0.1849706,0.4990027,-0.000480296,1.499847,0.4968853,0.09359098
0.2125111,0.4966616,0.003128821,1.699911,0.4968451,0.09357023
0.04112089,0.4339747,0.0005513855,0.2495208,0.6499478,0.04649806
0.04376374,0.4152156,-0.004016438,0.4983013,0.6988965,0.09467549
0.06945877,0.3964331,0.01767952,0.6979836,0.6979841,0.0916407
0.09985256,0.4091441,0.01351557,0.8985161,0.6972756,0.0905236
0.1338368,0.4170229,0.004796425,1.099141,0.6967866,0.0901796
0.1595077,0.4107101,0.009106786,1.29951,0.696521,0.09005401
0.1865958,0.408042,0.01366816,1.499712,0.6963861,0.08999686
0.2127671,0.4039884,0.01367776,1.699826,0.6963177,0.08996883
0.0497454,0.419975,0.0070275,0.249421,0.8499483,0.04640975
0.07175598,0.4114072,-0.004869869,0.497599,0.8991804,0.09394299
0.08534467,0.402961,-0.0002134646,0.697276,0.8985174,0.09052236
0.1063622,0.4123174,0.0007407736,0.8979706,0.8979714,0.0891359
0.1354307,0.4171249,0.0001640506,1.098798,0.8975938,0.08869529
0.1624799,0.4153009,0.001236533,1.299299,0.8973607,0.08853281
0.1895351,0.418313,0.001494277,1.499579,0.8972263,0.08845936
0.2152209,0.4153715,0.001517336,1.699741,0.8971513,0.08842327
0.04277171,0.3914222,0.00903425,0.2493794,1.049975,0.04638844
0.04847975,0.363858,0.002217585,0.4971759,1.099526,0.09371754
0.07670997,0.3573491,0.001375828,0.6967881,1.099143,0.09017842
0.1052491,0.3678673,0.0001120569,0.897594,1.098799,0.08869524
0.1341902,0.3667193,0.00234417,1.098533,1.098535,0.0882006
0.1617486,0.3623341,0.002544806,1.299121,1.098353,0.08801167
0.1891654,0.3628626,0.002385874,1.49946,1.098236,0.08792446
0.2167466,0.3589262,0.001793912,1.699662,1.098166,0.08788126
0.04319351,0.3719507,0.009934893,0.2493672,1.249989,0.04638214
0.06343553,0.3484329,0.001930716,0.4969797,1.299735,0.09362939
0.08028981,0.3417567,0.001107212,0.6965239,1.299513,0.09005357
0.1093553,0.3521593,0.001186015,0.8973627,1.299302,0.08853324
0.1376896,0.3513937,0.002190121,1.098354,1.299124,0.08801207
0.1649531,0.3522832,0.001601305,1.298989,1.298991,0.08780648
0.1922156,0.3532965,0.00172888,1.499367,1.298899,0.08770966
0.2188765,0.3527661,0.0009446874,1.699596,1.298839,0.08766076
0.04098305,0.3414524,0.01020687,0.2493776,1.449994,0.0463726
0.05735327,0.3132442,0.002090221,0.4968901,1.49985,0.09358991
0.07931387,0.3109711,0.0002803752,0.6963909,1.499716,0.08999757
0.1070337,0.3169231,2.077559e-05,0.8972317,1.499585,0.08846078
0.1366324,0.313168,0.0009704267,1.098241,1.499467,0.08792613
0.1624305,0.3148012,0.0006894258,1.2989,1.499373,0.08771091
0.1915059,0.3130455,0.000425597,1.4993,1.499304,0.08760785
0.2180623,0.312514,0.0003776334,1.699548,1.499257,0.08755498
0.04161042,0.3155788,0.01015156,0.2493709,1.649999,0.04637596
0.0608007,0.289831,0.002402426,0.4968506,1.699915,0.09357103
0.08056755,0.2892709,0.0007366439,0.6963267,1.699834,0.0899711
0.1107342,0.2931766,0.0004853518,0.8971624,1.699752,0.08842647
0.1374607,0.2920758,0.0006384855,1.098177,1.699675,0.08788487
0.1650067,0.2933906,0.0007327445,1.298847,1.699611,0.08766429
0.1926465,0.2929409,0.0004223967,1.499258,1.699562,0.08755748
0.2193835,0.2937674,0.0002613109,1.699517,1.699527,0.08750214
0.04058945,0.2857278,0.00974928,0.2493564,1.849995,0.04638373
0.05853097,0.2598317,0.002414736,0.4968359,1.899953,0.09356287
0.08068573,0.2604269,0.000821945,0.6963009,1.899906,0.08995953
0.1104341,0.2621908,0.0002892344,0.8971332,1.899856,0.08841136
0.1369203,0.261092,0.0003073754,1.098149,1.899808,0.08786662
0.1649604,0.262006,0.00021751,1.298823,1.899767,0.08764351
0.192185,0.2615165,0.0001375868,1.499239,1.899734,0.08753489
0.2194376,0.2620405,3.784702e-05,1.699502,1.899709,0.08747827
0.03942049,0.2569836,0.009352411,0.2493623,2.050003,0.0463802
0.05960865,0.23369,0.002590243,0.4968379,2.099979,0.09356041
0.08138165,0.2346742,0.001098496,0.696302,2.099955,0.08995763
0.1112075,0.2361955,8.328228e-05,0.8971343,2.099928,0.088409
0.1373465,0.2358298,0.0002613224,1.09815,2.099902,0.08786371
0.1655229,0.2366674,9.52223e-05,1.298824,2.099878,0.08764014
0.1926664,0.2365812,0.0001287436,1.49924,2.099858,0.08753123
0.2201694,0.2372692,5.041269e-05,1.699503,2.099842,0.08747441
0.038034,0.2274051,0.009262782,0.2493585,2.249999,0.04638126
0.05900456,0.2057968,0.002793473,0.496857,2.300002,0.09356398
0.08084093,0.206758,0.001226921,0.69633,2.299997,0.08996513
0.1112057,0.2075874,0.0001409945,0.8971662,2.299988,0.08841867
0.1371073,0.2074085,0.0002104397,1.098181,2.299978,0.08787523
0.1656862,0.2079913,-9.668434e-06,1.298851,2.299968,0.0876533
0.1927854,0.2079826,7.605184e-05,1.499262,2.299959,0.08754585
0.2205564,0.2085169,2.053154e-06,1.69952,2.299951,0.08749007
0.03650254,0.1979168,0.009021243,0.2493618,2.450001,0.04637915
0.05957797,0.1787524,0.002662448,0.4968975,2.500032,0.09358017
0.08141616,0.1795473,0.001264658,0.6963974,2.500044,0.08998689
0.1113422,0.1803138,8.812326e-05,0.8972391,2.500053,0.08844605
0.1374364,0.1804482,0.000168173,1.098249,2.500059,0.08790792
0.1660463,0.180961,-3.260204e-05,1.298908,2.500061,0.08769061
0.1931964,0.1810398,4.823161e-05,1.499307,2.50006,0.08758648
0.2211006,0.1815522,-8.931572e-06,1.699553,2.500059,0.08753302
0.03486728,0.1681854,0.008600397,0.2493645,2.650003,0.04637996
0.05935448,0.1513488,0.0031063,0.4969863,2.700079,0.09361857
0.08045519,0.1522794,0.001390871,0.6965356,2.700115,0.09003629
0.1112783,0.1524902,3.814976e-05,0.8973767,2.700147,0.08850849
0.1370777,0.1526398,0.0001759867,1.098368,2.70017,0.08798209
0.166245,0.1530459,-1.482835e-05,1.299002,2.700185,0.08777384
0.1933936,0.1532188,0.0001044703,1.499377,2.700193,0.087676
0.2215142,0.1536602,5.653936e-05,1.699605,2.700197,0.08762686
0.03305639,0.1385532,0.00805528,0.2493717,2.850009,0.04638372
0.05988566,0.1237792,0.002798944,0.4971873,2.900167,0.09370521
0.08210629,0.1239807,0.001401037,0.6968111,2.90025,0.09015339
0.111592,0.1248581,6.253606e-05,0.8976195,2.900321,0.08865797
