U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.6030054,-0.01705029,-0.01088611,0.2492691,0.2488164,0.04832956
-0.595751,-0.02455018,-0.005309075,0.4500924,0.2489685,0.04671509
-0.5794402,-0.01830309,-6.039715e-05,0.6499525,0.2494979,0.04649008
-0.5739802,-0.03592366,-0.004722281,0.8499495,0.2494176,0.04641137
-0.5520321,-0.03548227,-0.007714483,1.049974,0.2493699,0.04639493
-0.5273702,-0.04237998,-0.009343449,1.24999,0.2493651,0.04638462
-0.490126,-0.04583362,-0.01103017,1.449996,0.2493496,0.0463915
-0.4481204,-0.05112522,-0.01192402,1.649999,0.2493481,0.04639242
-0.3975464,-0.0557643,-0.01379964,1.850001,0.2493544,0.04638848
-0.3399471,-0.06012018,-0.01578198,2.050008,0.2493716,0.04638438
-0.2759062,-0.0633762,-0.01685358,2.250025,0.2493945,0.0463985
-0.208017,-0.06423955,-0.01499523,2.450061,0.2494748,0.04645117
-0.580382,0.008611585,-0.02957401,0.2493802,0.4501146,0.04689287
-0.6107886,-0.03804037,-0.002472209,0.4989093,0.4988642,0.09640073
-0.5636598,-0.02318603,-0.0007453367,0.6988972,0.498294,0.09467283
-0.5613036,-0.05522777,0.005208804,0.8991833,0.497603,0.09394614
-0.5265441,-0.05828871,-0.001719613,1.09953,0.4971865,0.09372354
-0.5011183,-0.07389403,-0.001558983,1.299745,0.4970013,0.0936386
-0.4608289,-0.08319599,-0.003897758,1.49987,0.4969311,0.09360738
-0.4204408,-0.09666321,-0.004766748,1.699954,0.4969319,0.09360497
-0.3707504,-0.1084799,-0.006550954,1.900032,0.497005,0.09363127
-0.3161345,-0.1212674,-0.006788264,2.100138,0.4971976,0.09371062
-0.2544776,-0.131843,-0.008889256,2.30029,0.4976292,0.09394027
-0.5955468,-0.0257928,-0.04505745,0.2495193,0.6499411,0.04649979
-0.6214446,-0.03680423,-0.02656641,0.498301,0.698891,0.0946748
-0.5703965,-0.04646776,-0.008315006,0.6979862,0.6979883,0.09164054
-0.5661586,-0.0666186,0.0007519513,0.898522,0.6972897,0.09052578
-0.5379767,-0.07879933,0.001179072,1.099152,0.6968132,0.09018548
-0.5131933,-0.09999309,0.0002320479,1.29953,0.6965684,0.09006652
-0.4765863,-0.1171547,-0.0003748498,1.499749,0.6964707,0.0900218
-0.4362586,-0.1358516,-0.00052468,1.699895,0.6964733,0.09001748
