U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.02719573,0.02793006,-0.0003528842,0.2491818,0.2491996,0.04851166
-0.06222297,0.01964542,0.002044137,0.4501721,0.2493878,0.04689384
-0.1137806,0.02356127,0.003756075,0.6499476,0.2495209,0.04649842
-0.1562638,0.02092825,0.004586454,0.849949,0.2494191,0.04641204
-0.2030132,0.02109647,0.003175828,1.049974,0.2493699,0.04639496
-0.2507269,0.02053747,0.002321327,1.24999,0.2493648,0.0463845
-0.2992463,0.02091838,0.001041678,1.449996,0.249349,0.046391
-0.3481128,0.02122128,0.000682266,1.649997,0.2493506,0.04638724
-0.397373,0.02201717,0.0005250351,1.849999,0.2493603,0.04637935
-0.4462704,0.02319565,-0.0008454346,2.049999,0.2493592,0.04637961
-0.4950105,0.0260663,0.003467085,2.25,0.2493597,0.04637909
-0.01835708,0.06244433,-0.00212672,0.2493665,0.4501724,0.04690578
-0.09394903,0.09649314,-0.0003407404,0.4989091,0.498919,0.09641807
-0.1373341,0.1044225,0.004140225,0.698897,0.4983088,0.09467699
-0.1906884,0.101415,0.003222616,0.8991822,0.4976059,0.09394627
-0.2387489,0.1053384,0.00320795,1.099527,0.497184,0.09372132
-0.2911185,0.1062904,0.002904803,1.299737,0.49699,0.09363237
-0.3427403,0.1094659,0.002998202,1.49985,0.4969015,0.09359178
-0.3964444,0.1114018,0.002806147,1.699912,0.4968645,0.09356929
-0.4513527,0.1135163,0.00261711,1.899948,0.4968473,0.09355747
-0.5069381,0.1127137,0.002181282,2.099969,0.4968378,0.09355203
-0.5641943,0.1109891,0.001269189,2.29998,0.4968324,0.09354919
-0.02122754,0.1145834,-0.003276488,0.2495084,0.6499474,0.04650795
-0.09970426,0.1380279,-0.004452737,0.4982956,0.698903,0.0946818
-0.1369344,0.1412093,0.0003881792,0.6979861,0.6979977,0.09164245
-0.1896429,0.1432892,0.0008960397,0.8985213,0.6972958,0.09052543
-0.2371074,0.1466146,0.001220947,1.099147,0.6968129,0.09018227
-0.2896483,0.1500708,0.001040305,1.299517,0.6965527,0.09005754
-0.3416278,0.1540274,0.001130221,1.499718,0.6964214,0.09000101
-0.3961447,0.1577485,0.0009817876,1.699832,0.6963553,0.08997273
-0.451731,0.161108,0.0008770359,1.899898,0.6963214,0.08995804
-0.5089107,0.1640239,0.0006062964,2.099937,0.6963034,0.08995019
-0.5689558,0.1650824,8.721803e-05,2.29996,0.6962936,0.08994594
-0.01684881,0.1572634,-0.003617131,0.2494268,0.8499517,0.04640812
-0.09307286,0.1900108,-0.003678615,0.4975994,0.8991907,0.09394752
-0.1334971,0.1935523,-0.0006637593,0.6972826,0.89854,0.09052607
-0.185865,0.1974125,-8.981178e-05,0.8979805,0.8980064,0.08914061
-0.233008,0.2017411,-0.0001961572,1.098809,0.8976407,0.0887013
-0.2851819,0.2068682,-0.0001953327,1.299311,0.8974178,0.08854003
-0.3369653,0.212423,-0.0002553296,1.499591,0.8972913,0.08846727
-0.3917229,0.2180736,-0.0003041878,1.699752,0.8972211,0.08843123
-0.4479599,0.2233554,-0.0003688217,1.899847,0.8971821,0.08841227
-0.5064314,0.227846,-0.0004263118,2.099904,0.8971606,0.08840207
-0.5669025,0.230712,-0.0005624702,2.29994,0.8971484,0.08839636
-0.01480676,0.2012126,-0.002149839,0.2493793,1.049975,0.04638882
-0.09192607,0.2338205,-0.003367345,0.497182,1.099544,0.09372138
-0.130172,0.237719,-0.0007360769,0.6968009,1.099181,0.09018421
-0.1810366,0.2430897,0.0001288121,0.8976116,1.098858,0.08870335
-0.2273473,0.2486965,3.933182e-05,1.098554,1.098614,0.08821102
-0.2788092,0.2558194,0.0001019871,1.299143,1.09845,0.08802387
-0.3303525,0.263274,6.678982e-05,1.499481,1.098347,0.08793795
-0.3852032,0.2711851,5.223326e-05,1.69968,1.098286,0.08789514
-0.4420066,0.278746,2.243709e-05,1.8998,1.09825,0.08787238
-0.5016543,0.2856141,-4.454214e-06,2.099874,1.098229,0.08785996
-0.563907,0.2907819,-6.416459e-05,2.29992,1.098216,0.08785294
-0.01258856,0.2440138,-0.0005194563,0.2493674,1.24999,0.04638225
-0.0873846,0.280199,-0.002847715,0.4969914,1.299766,0.09363521
-0.125352,0.2850613,-0.0005093803,0.6965467,1.299575,0.09006325
-0.1746056,0.2921782,0.0001250857,0.8973933,1.299398,0.08854698
-0.2200281,0.2993964,-2.319851e-05,1.098388,1.299253,0.08802955
-0.2704287,0.3087226,3.909755e-05,1.299025,1.299148,0.08782699
-0.3214548,0.3185685,-1.691073e-05,1.4994,1.299078,0.08773239
-0.3761408,0.329262,-6.103076e-06,1.699625,1.299033,0.08768447
-0.4334403,0.339798,-2.245596e-05,1.899764,1.299006,0.0876588
-0.4943329,0.3497449,-2.361399e-05,2.09985,1.298989,0.0876447
-0.5586196,0.3579766,-4.110924e-05,2.299904,1.298978,0.08763671
-0.01103152,0.2846145,0.001838314,0.2493771,1.449996,0.04637354
-0.08285034,0.3214053,-0.002700702,0.4969121,1.499901,0.0935996
-0.1197798,0.3275421,-0.0003895609,0.6964313,1.499818,0.09001425
-0.1665915,0.3362575,0.0001632408,0.8972836,1.499739,0.08848432
-0.2106592,0.3452853,2.130055e-05,1.098298,1.499672,0.08795575
-0.2595259,0.3570326,8.132938e-05,1.298957,1.499621,0.0877455
-0.3096911,0.369613,2.109498e-05,1.499351,1.499585,0.08764611
-0.3638639,0.3835253,3.301226e-05,1.699592,1.499561,0.08759523
-0.4214147,0.3976061,8.0291e-06,1.899741,1.499546,0.08756785
-0.4833796,0.4113663,-2.942235e-06,2.099835,1.499536,0.08755271
-0.5498396,0.4235307,-2.708665e-05,2.299894,1.499529,0.08754408
-0.01074323,0.3230814,0.0006593126,0.249367,1.650002,0.04637786
-0.07573295,0.3633854,-0.001640504,0.4968939,1.699999,0.09358786
-0.1124933,0.3706054,-2.357613e-05,0.6963992,1.7,0.09000103
-0.1568963,0.3815621,0.0004039955,0.8972511,1.7,0.08846769
-0.1992189,0.3926959,0.0002122328,1.09827,1.699999,0.08793605
-0.2460731,0.4073933,0.0002863126,1.298935,1.699999,0.08772361
-0.2948871,0.423334,0.0002337122,1.499336,1.699998,0.08762278
-0.348062,0.4413025,0.0002629111,1.699581,1.699997,0.08757096
-0.4054894,0.4599931,0.0002628774,1.899734,1.699996,0.08754302
-0.4682861,0.4789308,0.000283471,2.09983,1.699993,0.08752753
-0.5369373,0.496704,0.0003022126,2.299891,1.69999,0.08751873
-0.006880557,0.3588394,0.002183143,0.2493622,1.850002,0.04638023
-0.06775301,0.3999387,-0.001493928,0.4969152,1.9001,0.09359885
-0.1039395,0.4092431,-1.963212e-05,0.6964331,1.900182,0.0900155
-0.1446504,0.420424,7.368287e-05,0.8972857,1.900261,0.08848626
-0.184882,0.4335705,-0.000143119,1.0983,1.900327,0.08795815
-0.2289383,0.4510475,-0.0001402514,1.298959,1.900377,0.08774825
-0.2757629,0.4704878,-0.0002315512,1.499353,1.900412,0.08764911
-0.3271655,0.4928085,-0.0002514243,1.699593,1.900433,0.08759839
-0.3837102,0.5166352,-0.0003105737,1.899742,1.900446,0.08757108
-0.4465713,0.5415304,-0.0003650838,2.099836,1.900451,0.08755604
-0.5167731,0.5659906,-0.0004452374,2.299895,1.900452,0.08754747
-0.0001434894,0.390404,0.003056081,0.2493775,2.050006,0.04637479
-0.07072455,0.4391003,-0.001059427,0.4969903,2.100235,0.09363933
-0.09469221,0.4475389,-0.0006532941,0.6965502,2.100425,0.09006684
-0.1327406,0.4625324,0.001109533,0.8973982,2.100603,0.08855165
-0.1686913,0.4780988,0.0007322831,1.098393,2.100747,0.08803519
-0.2092329,0.4994007,0.0009927079,1.299029,2.100852,0.08783338
-0.2531131,0.5232608,0.0009349086,1.499404,2.100921,0.0877393
-0.3018602,0.5511063,0.001021906,1.699629,2.100963,0.08769175
-0.3566483,0.5815757,0.001049695,1.899766,2.100988,0.08766625
-0.4187514,0.6144427,0.001114638,2.099852,2.101001,0.08765242
-0.4898311,0.6482791,0.001193184,2.299905,2.101005,0.08764448
-0.001696754,0.4227618,0.007116702,0.2493618,2.250015,0.04639091
-0.05327025,0.4627339,-0.001502722,0.4971844,2.300456,0.09372695
-0.08357583,0.4741104,-0.001409296,0.6968087,2.300821,0.09019133
-0.1144139,0.4894449,-0.0009070463,0.8976213,2.301144,0.08871279
-0.1481362,0.5071752,-0.00127002,1.098564,2.301389,0.08822239
-0.1838831,0.531458,-0.001232085,1.299151,2.301552,0.0880365
-0.2240592,0.5593103,-0.001422145,1.499487,2.301653,0.0879515
-0.2688208,0.5923496,-0.001489986,1.699685,2.301713,0.08790913
