U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.2482789,-0.01278721,-0.001989246,0.2474777,0.2468943,0.0472398
-0.2441288,-0.01463746,-0.002500112,0.4499707,0.2462521,0.04576235
-0.2366364,-0.0126289,-0.0004725383,0.6499535,0.2464815,0.045431
-0.2371284,-0.01843352,-0.004251613,0.8498887,0.2480629,0.04593629
-0.2300186,-0.02055477,-0.005846772,1.049986,0.2492485,0.04635656
-0.2230728,-0.02542145,-0.006073207,1.249999,0.2489687,0.04623901
-0.2090439,-0.02540926,-0.006305073,1.450022,0.2470056,0.04557359
-0.1944261,-0.02388026,-0.006872288,1.64993,0.2480622,0.04592954
-0.1747408,-0.02711675,-0.007873253,1.850009,0.2492426,0.04635818
-0.1512538,-0.0293932,-0.008119914,2.050081,0.2486973,0.04614392
-0.241444,0.0104752,-0.01116068,0.2486954,0.4497649,0.04659771
-0.2511536,-0.0153514,0.001148413,0.4987716,0.4982427,0.09623348
-0.2289779,-0.004072664,3.700924e-05,0.6988538,0.4976868,0.09453753
-0.2326505,-0.01903297,0.003032592,0.8991616,0.4973102,0.09388701
-0.219161,-0.01897167,-0.0005325982,1.099531,0.4970749,0.09370879
-0.2120038,-0.02623089,-0.0004514373,1.299762,0.4967836,0.09360244
-0.1974182,-0.0303963,-0.001711051,1.499876,0.4965775,0.09354422
-0.1830538,-0.03687289,-0.001919895,1.69995,0.4967993,0.09360146
-0.163952,-0.04318369,-0.002712863,1.900057,0.497033,0.09367735
-0.2393716,-0.006181876,-0.01887832,0.2492547,0.6499448,0.04639862
-0.25609,-0.01307466,-0.0105256,0.4981802,0.6987592,0.0946301
-0.2311666,-0.01371494,-0.00428372,0.6979433,0.6978326,0.09161365
-0.2347641,-0.02141854,0.000199816,0.8985063,0.6972035,0.09051709
-0.2237222,-0.02564111,3.92075e-05,1.09915,0.6967918,0.09019219
-0.2172358,-0.03402899,3.04819e-05,1.299536,0.6965629,0.09008281
-0.2047121,-0.04172789,-0.0002095327,1.499756,0.696494,0.09005281
-0.1907202,-0.05049988,-0.00026115,1.699907,0.696584,0.09007447
-0.1725727,-0.06056363,-0.000662283,1.900059,0.6967552,0.0901282
-0.2432952,-0.006806371,-0.01869764,0.2487498,0.8498853,0.04618424
-0.2644451,-0.01376129,-0.005800954,0.4974632,0.8991479,0.09391299
-0.2400648,-0.01900959,-0.002666645,0.6972251,0.8984907,0.09051692
-0.2468183,-0.02823838,0.001924392,0.8979584,0.8979835,0.08914554
-0.2332836,-0.03604695,8.411604e-05,1.098808,0.89766,0.08872227
-0.2279629,-0.04545247,0.000523913,1.299329,0.8974931,0.08858497
-0.2153554,-0.05632327,-1.305503e-05,1.499635,0.8974578,0.08854999
-0.2026182,-0.06831382,7.284436e-05,1.699846,0.8975298,0.0885689
-0.1853146,-0.08178026,-5.796567e-05,1.900046,0.8976725,0.0886276
-0.2510167,-0.009776441,-0.02003836,0.2491399,1.049958,0.0463021
-0.2708451,-0.01695751,-0.009359768,0.4969413,1.099537,0.09367291
-0.2447379,-0.02424022,-0.00441145,0.6967012,1.099158,0.0901739
-0.2523799,-0.03334534,0.0006662,0.8975714,1.098842,0.08870992
-0.2409915,-0.04214728,-0.0006856265,1.098542,1.098624,0.08823549
-0.2376223,-0.05429377,0.0001343555,1.299154,1.098511,0.08807702
-0.2271696,-0.06623233,0.0001314963,1.499525,1.098494,0.08803591
