U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.02679293,0.02618053,-0.001910633,0.2484532,0.2435286,0.04612848
-0.1003167,0.04217142,-0.008907574,0.4996299,0.2902864,0.09619608
-0.09719219,0.02164872,0.006517604,0.647856,0.2433815,0.04399367
-0.1596825,0.02224909,-0.003683266,0.8498956,0.2452009,0.04500514
-0.1910182,0.02556023,0.002217832,1.04999,0.2460566,0.04524204
-0.2458008,0.0208405,-0.0009285916,1.249989,0.2461202,0.0452517
-0.2919533,0.01923072,-0.001488763,1.449994,0.2461154,0.04524668
-0.3340597,0.02205188,-0.0002406575,1.649998,0.2461156,0.04524945
-0.3798991,0.01447928,-0.001373167,1.849997,0.2461231,0.04525015
-0.416876,0.02388905,0.001513734,2.049998,0.2461241,0.04525023
-0.5247242,0.00796824,0.006272067,2.349978,0.2387967,0.1415556
-0.5385301,0.04206713,-0.008077556,2.450021,0.2388097,0.1415646
-0.01918504,0.06483157,-0.002032166,0.2496882,0.4482541,0.0464695
-0.09103281,0.0830311,0.0001386656,0.4975884,0.4968088,0.09665608
-0.1283947,0.09805192,0.006154942,0.6966733,0.4950431,0.0933913
-0.1779488,0.09249279,0.004228533,0.8988606,0.4961155,0.09357639
-0.2206817,0.09455482,0.004060577,1.09951,0.4961861,0.0935112
-0.2671071,0.09348654,0.003452234,1.299736,0.4960849,0.09344379
-0.3125596,0.09463945,0.003293632,1.499848,0.4960141,0.09340787
-0.3583366,0.09279916,0.003053588,1.69991,0.4959889,0.09338885
-0.4039919,0.09713511,0.003247753,1.899948,0.495988,0.09338298
-0.4505543,0.09542376,0.002764366,2.099971,0.496005,0.09338864
-0.4938347,0.09027183,0.003477797,2.299985,0.496041,0.09340258
-0.535102,0.08753557,0.002981929,2.499991,0.4960892,0.09341863
-0.02294938,0.1003644,-0.001968763,0.2493943,0.6496855,0.04643179
-0.09460554,0.1307735,-0.005371997,0.4980199,0.6982027,0.09458815
-0.1298921,0.13075,0.001041069,0.6975298,0.6970416,0.0914473
-0.1773975,0.1328109,0.0007968116,0.898269,0.6965794,0.09036543
-0.2211831,0.1341693,0.001184717,1.099116,0.6963973,0.09012024
-0.2690188,0.1347851,0.0008690413,1.299509,0.6962105,0.09001167
-0.3153327,0.1350368,0.001109644,1.499711,0.6961,0.08995901
-0.3638848,0.1346626,0.0009775198,1.699826,0.69605,0.08993579
-0.4110676,0.1322794,0.0017549,1.899895,0.6960424,0.08993003
-0.4569297,0.1291678,0.001858137,2.099937,0.696069,0.08993761
-0.5023058,0.1242937,0.001649384,2.299963,0.696123,0.08995532
-0.5456429,0.1167159,0.001882568,2.499979,0.6961873,0.08997692
-0.02008032,0.1627667,0.007399571,0.2494108,0.8499109,0.0464023
-0.08556168,0.1769077,-0.00398355,0.4975757,0.8989926,0.09392415
-0.1281882,0.1797896,-3.095699e-05,0.6972318,0.8982559,0.09048892
-0.1757525,0.1815592,1.900764e-05,0.897939,0.8977605,0.08910862
-0.2198309,0.1836121,0.0001021354,1.098786,0.8974503,0.08868013
-0.2680585,0.1852388,-1.148601e-05,1.299295,0.8972544,0.0885248
-0.3150927,0.1864596,-8.300237e-05,1.499576,0.8971384,0.08845522
-0.3642307,0.1863939,-0.0001409983,1.69974,0.8970826,0.08842518
-0.4129584,0.1853687,-0.0002122164,1.899839,0.8970727,0.08841782
-0.4622487,0.1816972,-0.0002201614,2.0999,0.8971014,0.08842712
-0.5100992,0.1746426,-0.0001838185,2.29994,0.8971601,0.08844877
-0.5564155,0.1651691,-0.0002387257,2.499964,0.8972294,0.08847501
-0.01611012,0.1946571,0.005168876,0.2493967,1.049969,0.04637977
-0.08849872,0.2179781,-0.003991508,0.49717,1.099474,0.09371817
-0.1256499,0.2213749,-0.000487201,0.6967825,1.099067,0.09017328
-0.1733655,0.2248378,1.207623e-05,0.8975878,1.098736,0.0886912
-0.2173918,0.2278054,0.0001120013,1.098527,1.09849,0.0881987
-0.2660865,0.230915,0.0001408171,1.299115,1.098322,0.08801218
-0.3141546,0.2329473,0.0001420638,1.499456,1.09822,0.08792917
-0.3650123,0.2339258,0.0001552472,1.699659,1.098167,0.08789314
-0.4159362,0.2323603,0.000230496,1.899785,1.098156,0.08788421
-0.4679923,0.2284262,0.0002370295,2.099865,1.098182,0.08789528
-0.5192505,0.2201058,0.0002260663,2.299917,1.098236,0.08792088
-0.5695609,0.208288,0.000200974,2.49995,1.0983,0.08795184
-0.01754464,0.224033,0.0003219664,0.2493837,1.249988,0.04637487
-0.07957649,0.2621699,-0.002586504,0.4969723,1.29972,0.09363253
-0.1222385,0.2664081,0.0002029513,0.6965173,1.29949,0.09005274
-0.169054,0.2715145,5.990293e-05,0.8973545,1.299281,0.08853228
-0.2136082,0.2760122,2.694144e-05,1.098344,1.29911,0.08801227
-0.2627585,0.2809862,3.150847e-05,1.29898,1.298984,0.08780915
-0.3119687,0.2848916,-3.087075e-05,1.499359,1.298902,0.08771686
-0.3647717,0.2877687,-1.907865e-05,1.699591,1.298858,0.08767656
-0.4184851,0.2876476,-5.152903e-05,1.899738,1.298847,0.08766674
-0.4746143,0.284647,-6.794153e-05,2.099834,1.298868,0.08767969
-0.5304274,0.275662,-9.275388e-05,2.299897,1.298912,0.08770924
-0.5861464,0.2621856,-0.0001658692,2.499937,1.298965,0.08774491
-0.01090385,0.2674623,0.002210644,0.2493493,1.449996,0.04639117
-0.07779419,0.3017537,-0.002572235,0.4968835,1.499844,0.09359035
-0.1177327,0.3105079,0.0003068685,0.696381,1.499707,0.08999641
-0.1636377,0.3153555,0.0001845996,0.8972185,1.499575,0.08845957
-0.2077595,0.321993,0.0001321081,1.098226,1.49946,0.08792596
-0.2570744,0.3291665,0.0001399498,1.298885,1.49937,0.0877134
-0.3072583,0.335436,7.548788e-05,1.499287,1.499308,0.08761559
-0.3621873,0.340836,0.0001129526,1.699538,1.499274,0.08757259
-0.4190591,0.3424754,7.673519e-05,1.899701,1.499265,0.08756274
-0.4800869,0.3410037,9.000916e-05,2.099808,1.49928,0.08757788
-0.5419183,0.3316522,5.33543e-05,2.299881,1.499314,0.08761159
-0.6052981,0.3169486,-6.447313e-05,2.499927,1.499356,0.08765262
-0.005642845,0.3085496,0.006298977,0.2493456,1.649998,0.04639191
-0.08225465,0.3435485,-0.001946819,0.4968416,1.699909,0.09356873
-0.1105865,0.3514125,-0.0004729188,0.6963099,1.699826,0.089968
-0.1575068,0.3598871,0.0003295182,0.8971404,1.699741,0.08842327
-0.1997249,0.3690682,3.181536e-05,1.098152,1.699664,0.08788266
-0.2492132,0.3798122,0.000113227,1.298822,1.699602,0.08766498
-0.300181,0.3899635,9.553674e-06,1.499236,1.699558,0.08756419
-0.357612,0.3998888,7.208709e-05,1.6995,1.699533,0.08752017
-0.4182313,0.4058488,5.118934e-06,1.899673,1.699526,0.08751128
-0.4854371,0.4085915,5.168327e-05,2.09979,1.699538,0.08752927
-0.5546044,0.4015916,1.918783e-05,2.299869,1.699564,0.08756802
-0.6276947,0.3869915,-0.0001725187,2.499921,1.699599,0.08761572
-0.01051961,0.318844,0.000765532,0.2493485,1.849998,0.04638664
-0.06619493,0.3822618,-0.0005940456,0.4968199,1.899945,0.09355462
-0.1036879,0.3896042,0.0006464907,0.6962694,1.899893,0.08995254
-0.1461146,0.4018273,0.0003855603,0.8970948,1.899839,0.08840419
-0.1878529,0.4138732,0.0001797777,1.098107,1.899788,0.08786013
-0.2361806,0.4287048,0.0001682731,1.298782,1.899746,0.08763972
-0.2871417,0.4432511,4.772924e-05,1.499203,1.899715,0.08753776
-0.3462428,0.458382,0.0001339768,1.699475,1.899697,0.08749414
-0.4103121,0.4690765,1.382415e-05,1.899655,1.899693,0.08748762
-0.4843893,0.4769569,0.0001220816,2.099779,1.899704,0.08751034
-0.5637019,0.4720653,3.085214e-05,2.299864,1.899727,0.08755699
-0.6511456,0.4597638,-0.0002118381,2.499919,1.899758,0.08761614
0.005591382,0.3733372,-0.0009203423,0.2493485,2.049996,0.04637513
-0.05896541,0.4152713,-0.001072611,0.4967835,2.099967,0.0935423
-0.09371135,0.429662,0.001071887,0.6962371,2.099934,0.08994307
-0.133409,0.4424055,0.0004564778,0.8970657,2.099898,0.08839395
-0.172942,0.4588479,0.0002342707,1.09808,2.099865,0.0878484
-0.2198859,0.4788889,0.0001892256,1.298758,2.099836,0.08762713
-0.2704601,0.5003857,3.627019e-05,1.499183,2.099815,0.08752524
-0.3316038,0.524152,0.0001662883,1.69946,2.099804,0.08748342
-0.3993803,0.5451353,-1.33466e-05,1.899647,2.099803,0.08748118
-0.4820448,0.5639505,0.0002459753,2.099776,2.099814,0.08751196
-0.5717154,0.5702438,0.0001265067,2.299867,2.099837,0.08757311
-0.6776172,0.5626804,-0.0002622257,2.499927,2.099872,0.08765684
0.001935064,0.407707,0.013417,0.2491926,2.249985,0.04631912
-0.05551562,0.4482995,0.001149224,0.4966604,2.29999,0.09351722
-0.07987738,0.4617219,0.0001116056,0.6961952,2.29996,0.08993518
-0.117136,0.4789173,0.0006054276,0.8970442,2.299936,0.08838836
-0.1516156,0.4991435,0.0001837857,1.098065,2.299913,0.08784264
-0.1949026,0.524978,0.0002929748,1.298746,2.299895,0.08762175
-0.2421297,0.553402,0.0001397704,1.499174,2.299881,0.08752112
-0.3017306,0.5862985,0.0002853785,1.699455,2.299874,0.08748277
-0.3706859,0.6171428,3.774298e-05,1.899647,2.299876,0.08748738
-0.4593736,0.6488251,0.0003077373,2.099783,2.299888,0.08753231
-0.5648063,0.6637439,0.0001165463,2.299873,2.299906,0.08762682
-0.695847,0.6699221,1.487936e-05,2.499917,2.299928,0.08778076
0.0120287,0.4009856,-0.0003962484,0.2477267,2.450093,0.04582119
-0.04072259,0.47488,-9.238402e-05,0.496515,2.499987,0.09348945
-0.06650798,0.4934185,0.001445066,0.696166,2.499973,0.08993042
-0.09641638,0.5116936,0.0005975347,0.8970327,2.499959,0.08838604
-0.1273044,0.5368882,0.000414207,1.098059,2.499944,0.08784094
-0.1661396,0.5693568,0.0003650697,1.298742,2.499932,0.08762096
-0.2096223,0.60771,0.0002407045,1.499174,2.499924,0.08752257
-0.268066,0.6538805,0.0004355831,1.699459,2.49992,0.08748897
-0.3367587,0.7042736,0.0001507696,1.899657,2.499923,0.08750373
-0.4341612,0.759408,0.0006021171,2.099803,2.499938,0.08757231
-0.5497568,0.8088767,0.0002834867,2.299882,2.499936,0.08773633
-0.7129529,0.8449176,0.0008140169,2.499699,2.49973,0.08814029
0.007439529,0.4110533,-0.001580687,0.2486658,2.649927,0.04609805
-0.04630786,0.498577,0.0001189224,0.4966141,2.699984,0.0935118
-0.04717718,0.5130721,-0.001265705,0.6961748,2.699982,0.08993238
-0.07437431,0.5377721,0.0006919509,0.8970358,2.699974,0.0883868
-0.09506817,0.5667575,0.0002025662,1.098062,2.699964,0.08784224
-0.1259967,0.605913,0.0004336194,1.298747,2.699957,0.08762355
-0.1599296,0.6530081,0.0004782642,1.499181,2.699952,0.08752794
-0.2087364,0.7125462,0.0005482466,1.699471,2.69995,0.08750004
-0.2687451,0.7804498,0.0008831983,1.899677,2.699954,0.08752787
-0.3595968,0.8632915,0.001112109,2.099837,2.699969,0.08763041
-0.4835295,0.9383821,0.001676066,2.299923,2.699946,0.08790283
-0.6798599,1.006038,-0.001575923,2.499475,2.699425,0.08871999
0.006316899,0.4662033,0.01359821,0.2490042,2.850034,0.04625337
-0.00617586,0.5117777,0.001464186,0.4966235,2.900005,0.09351473
-0.03126138,0.5301512,0.002108493,0.6961877,2.899991,0.08993542
-0.04350136,0.5564644,0.0003942462,0.897047,2.899984,0.08838993
-0.05986071,0.5893393,0.000495587,1.098074,2.899978,0.08784633
-0.08121621,0.6339705,0.0003450145,1.298759,2.899973,0.08762929
-0.1044447,0.6901428,0.0005940932,1.499196,2.89997,0.08753673
-0.1445012,0.762908,0.0006358101,1.69949,2.899969,0.08751468
-0.1897918,0.8532803,0.001512521,1.899706,2.899973,0.08755589
-0.2815028,0.973393,0.001367377,2.099889,2.899984,0.08769504
-0.3928108,1.121921,0.004808586,2.300019,2.899955,0.08808537
-0.6638426,1.32222,-0.0008397111,2.499559,2.899421,0.0892867
0.02582472,0.4571985,-0.003653645,0.248044,3.049942,0.04595908
-0.01630649,0.5189615,0.001063749,0.4966305,3.099991,0.09351803
-0.0063254,0.5402303,-0.0008415606,0.6962121,3.099993,0.08994135
-0.01495358,0.5662171,0.0003310277,0.8970699,3.09999,0.08839658
-0.01681198,0.6016703,7.194959e-07,1.098096,3.099987,0.08785441
-0.02407275,0.6499596,1.644685e-05,1.298781,3.099984,0.08763933
-0.02937159,0.7138444,0.0003121005,1.499218,3.099982,0.08754972
-0.04493116,0.7986189,-0.0001363045,1.699517,3.099981,0.08753247
-0.05887215,0.9144249,0.001791791,1.899744,3.099984,0.08758429
-0.1070154,1.073848,-0.0003493854,2.099956,3.099991,0.08775107
-0.1538527,1.311326,0.008562101,2.300149,3.099974,0.08822918
-0.3155659,1.649311,-0.000268288,2.499715,3.099745,0.08975847
0.02086061,0.4683446,0.01071044,0.2492022,3.25001,0.04633791
0.01672054,0.5198662,0.001079114,0.4967686,3.299997,0.09355018
0.01155061,0.5370354,0.001093142,0.6962672,3.299997,0.08995428
0.01855538,0.5650036,-5.977538e-05,0.8971116,3.299995,0.08840904
0.02477884,0.5995539,3.987372e-06,1.098133,3.299993,0.08786888
0.03262789,0.6472445,-0.0003555658,1.298815,3.299991,0.0876562
0.04739278,0.7096772,-0.0002562642,1.49925,3.29999,0.08756925
0.06130179,0.7933182,-0.001100168,1.69955,3.29999,0.08755558
0.09612102,0.9063787,1.742901e-05,1.899787,3.299992,0.08761386
0.1258765,1.065825,-0.003118156,2.100028,3.299996,0.08779485
