U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.0761133,-0.005037244,-0.0007542823,0.2477082,0.248413,0.04770053
-0.07584826,-0.006723267,-0.0007037503,0.4499485,0.2465283,0.0458649
-0.07290368,-0.005379977,-0.0003422273,0.6499459,0.2464989,0.04543759
-0.07285506,-0.008078615,-0.002008771,0.8498849,0.2480553,0.04593087
-0.07115443,-0.009215354,-0.002607828,1.050022,0.2490675,0.04626407
-0.0692839,-0.007990255,-0.002637245,1.249936,0.2487028,0.04616246
-0.06578767,-0.008067822,-0.002816512,1.449999,0.2492917,0.04637
-0.06231091,-0.009036232,-0.002559606,1.650031,0.2491408,0.04630138
-0.05785218,-0.00791378,-0.002423305,1.849945,0.2487268,0.04617431
-0.05335908,-0.007848656,-0.002439598,2.050005,0.2493443,0.04638245
-0.07545484,0.003653718,-0.003182182,0.2486994,0.4498698,0.04661703
-0.07837851,-0.005465748,0.0007360284,0.4987874,0.4982865,0.09625693
-0.07025086,-0.0008124678,-7.200224e-05,0.698858,0.4976901,0.09454199
-0.07197885,-0.005869605,0.001094831,0.8991629,0.4972942,0.09388162
-0.0674143,-0.005407319,-7.2486e-05,1.099533,0.4970452,0.09369603
-0.06552547,-0.00695896,2.83226e-06,1.299736,0.4969282,0.09363013
-0.06153675,-0.007334256,-0.000293961,1.499857,0.4969316,0.0936184
-0.05805358,-0.008395145,-0.0003309737,1.699926,0.4969056,0.09360883
-0.05373823,-0.008846216,-0.0004133736,1.89995,0.4969355,0.09361655
-0.07418004,-0.0009060718,-0.005406533,0.2494731,0.649921,0.04648915
-0.0793545,-0.004346066,-0.0031222,0.4982696,0.6987572,0.09465369
-0.07076588,-0.00416622,-0.001496686,0.6979679,0.6978271,0.09161832
-0.07152098,-0.006530344,1.487665e-05,0.8985113,0.6971919,0.09051559
-0.06823631,-0.007338743,7.359364e-05,1.099145,0.6967815,0.09018822
-0.06608723,-0.009147895,-1.13816e-05,1.299518,0.6965866,0.09008192
-0.06254457,-0.01030027,7.741313e-06,1.499725,0.6965293,0.09004943
-0.05908121,-0.01147861,-6.119585e-05,1.699843,0.6965274,0.09004513
-0.05474078,-0.01240361,-7.368066e-05,1.899908,0.6965446,0.09004894
-0.07537218,-0.001700286,-0.005680875,0.2494122,0.8499424,0.04640678
-0.08337992,-0.005080609,-0.001480204,0.4975787,0.8991513,0.09393832
