U:0,U:1,U:2,Points:0,Points:1,Points:2
-0.000327875,0.0003374059,1.532489e-07,0.2491956,0.2491874,0.04850945
-0.0009791451,0.0002227849,-1.161387e-05,0.4501697,0.2493819,0.04689644
-0.001473673,0.0002012162,2.209505e-05,0.6499477,0.2495201,0.04649862
-0.002064487,0.000167666,-1.913044e-05,0.8499481,0.249421,0.04640991
-0.002671908,0.0001495801,-4.038256e-05,1.049975,0.2493794,0.04638849
-0.003298859,7.943552e-05,-7.158421e-05,1.24999,0.2493649,0.04638406
-0.003868164,2.239438e-06,-9.861904e-05,1.449995,0.2493487,0.04639091
-0.00444794,-8.26245e-05,-0.0001324007,1.649997,0.2493502,0.04638725
-0.005009355,-0.0001643306,-0.0001650255,1.849999,0.2493576,0.04638177
-0.00557773,-0.0002148986,-0.0001712971,2.049996,0.2493561,0.04638307
-0.0002134803,0.0009801255,1.29192e-05,0.2493704,0.4501724,0.04690292
-0.001104614,0.001117759,1.264366e-06,0.498911,0.4989178,0.09641352
-0.001555491,0.001225626,7.477445e-05,0.6988953,0.4983042,0.09467466
-0.002140386,0.001165116,7.339824e-05,0.8991788,0.4976001,0.0939428
-0.002643923,0.001196502,7.66137e-05,1.099524,0.4971757,0.09371743
-0.003208196,0.001179346,7.530227e-05,1.299733,0.4969782,0.09362929
-0.003747442,0.001187536,7.680589e-05,1.499847,0.4968881,0.09358885
-0.004305112,0.001163561,7.663137e-05,1.69991,0.4968506,0.09356699
-0.00483907,0.001134902,7.259205e-05,1.899947,0.496833,0.09355785
-0.005375573,0.001068498,6.164481e-05,2.099968,0.4968252,0.09355614
-0.0001951398,0.001469651,-1.469666e-05,0.2495107,0.6499474,0.04650464
-0.001196944,0.001563477,-7.313208e-05,0.4982978,0.6988966,0.09467664
-0.00155135,0.001584085,-5.504934e-07,0.6979819,0.6979852,0.09163939
-0.002159915,0.001622755,1.319813e-05,0.8985146,0.6972768,0.09052178
-0.002639537,0.001622682,1.644577e-05,1.099139,0.6967875,0.09017784
-0.003226338,0.001636573,1.526075e-05,1.299508,0.6965218,0.09005269
-0.003775271,0.001646046,1.697825e-05,1.49971,0.696387,0.08999603
-0.004364361,0.001635961,1.635783e-05,1.699825,0.69632,0.08996812
-0.004942981,0.001595199,1.728114e-05,1.899893,0.696289,0.08995509
-0.00552551,0.001506524,1.631664e-05,2.099934,0.6962805,0.08995045
-0.0001508468,0.002050574,2.701121e-05,0.2494206,0.8499482,0.04641028
-0.001101975,0.002135992,-7.023525e-05,0.497597,0.8991801,0.09394334
-0.001547152,0.00218655,-1.222416e-05,0.6972737,0.8985168,0.09052184
-0.002112178,0.002198372,5.38685e-07,0.8979677,0.8979705,0.08913497
-0.002619858,0.00221967,2.178223e-06,1.098794,0.8975927,0.08869421
-0.003208642,0.002256294,3.154473e-06,1.299295,0.8973595,0.0885318
-0.003777157,0.002274984,3.291863e-06,1.499575,0.8972259,0.08845853
-0.004389369,0.002276431,3.634218e-06,1.699738,0.8971527,0.08842271
-0.005006512,0.002244699,2.464094e-06,1.899836,0.897117,0.08840541
-0.005649933,0.002162547,9.693161e-07,2.099897,0.8971073,0.08839908
-0.0001217045,0.00262281,4.41009e-05,0.2493769,1.049976,0.04639101
-0.001102902,0.002605019,-7.110497e-05,0.4971713,1.099525,0.09371924
-0.001499565,0.002644614,-1.64265e-05,0.696784,1.099141,0.09017797
-0.002065152,0.002694864,-2.112766e-06,0.8975888,1.098797,0.08869406
-0.002577448,0.002741742,-9.840975e-08,1.098527,1.098531,0.08819914
-0.003170026,0.002797179,3.091606e-06,1.299114,1.098349,0.08800999
-0.003753815,0.002842016,2.612289e-06,1.499454,1.098234,0.08792295
-0.004393923,0.002873124,3.266921e-06,1.699656,1.098166,0.08787992
-0.005057149,0.002871569,3.09249e-06,1.899781,1.098131,0.08785873
-0.005768917,0.002820025,2.955827e-06,2.099861,1.098121,0.08785083
-3.680378e-05,0.0031873,7.301429e-05,0.2493527,1.24999,0.04639314
-0.001042151,0.003121334,-6.763944e-05,0.496972,1.299733,0.09363191
-0.001451611,0.003187667,-1.42817e-05,0.6965172,1.299509,0.09005269
-0.002011097,0.003252841,-2.891777e-06,0.8973539,1.299297,0.08853136
-0.002515371,0.003322815,-3.018246e-06,1.098343,1.299118,0.08800964
-0.003106051,0.003408177,-1.914402e-07,1.298978,1.298984,0.08780356
-0.00369936,0.003487602,-9.537724e-07,1.499355,1.298892,0.08770662
-0.004359207,0.003559858,8.978148e-09,1.699587,1.298835,0.08765785
-0.005059274,0.00360496,-4.207836e-07,1.899732,1.298804,0.08763352
-0.005830007,0.003606567,-5.987738e-07,2.099827,1.298795,0.08762425
3.945008e-05,0.003689128,9.837175e-05,0.2493473,1.449995,0.04639267
-0.001007574,0.003580982,-6.701101e-05,0.4968833,1.499847,0.09358965
-0.001391026,0.003666812,-1.536618e-05,0.6963804,1.499711,0.08999523
-0.001928562,0.003757178,-2.688673e-06,0.8972172,1.499577,0.08845726
-0.002420387,0.003859173,-2.366096e-06,1.098224,1.499457,0.08792166
-0.003003685,0.003982501,7.281203e-07,1.298881,1.499362,0.08770569
-0.003600565,0.004110555,-8.703765e-08,1.499281,1.499292,0.08760226
-0.004275921,0.004241198,9.135863e-07,1.699531,1.499246,0.0875493
-0.005010114,0.004357684,4.929787e-07,1.899692,1.499221,0.08752243
-0.005841173,0.004446306,4.700785e-07,2.099798,1.499214,0.08751183
0.0001098195,0.004182354,0.0001185293,0.2493465,1.649997,0.04639064
-0.0009432007,0.004036472,-6.1015e-05,0.4968438,1.699909,0.09356692
-0.001303131,0.004153334,-1.383315e-05,0.6963099,1.699825,0.08996622
-0.001818485,0.004267892,-2.281788e-06,0.8971385,1.699739,0.0884201
-0.002288729,0.00440549,-3.036225e-06,1.098149,1.699658,0.08787702
-0.002853891,0.004573226,-1.8277e-07,1.298816,1.699591,0.08765509
-0.003439863,0.004757299,-1.177902e-06,1.499228,1.69954,0.0875474
-0.004111318,0.00495815,-2.053368e-07,1.69949,1.699505,0.08749154
-0.00485363,0.005162214,-5.372941e-07,1.89966,1.699486,0.08746285
-0.005706413,0.005359905,-4.259726e-07,2.099774,1.69948,0.08745141
0.0001612438,0.004639882,0.0001254154,0.2493577,1.849998,0.04638141
-0.0008755114,0.00445674,-5.328277e-05,0.4968269,1.899945,0.09355378
-0.001192116,0.004591591,-1.329478e-05,0.6962726,1.899892,0.08995087
-0.001676552,0.004736814,-1.06556e-06,0.8970934,1.899835,0.08840029
