U:0,U:1,U:2,Points:0,Points:1,Points:2
-1.540787,0.3918845,0.01469795,0.2488804,0.247224,0.0478408
-1.366688,0.4450641,0.03148191,0.4500889,0.2462376,0.04578508
-1.260503,0.481604,0.03466043,0.6499379,0.2462784,0.04536598
-1.205404,0.4871058,0.03337048,0.8499464,0.246172,0.04527779
-1.149233,0.4923662,0.03325423,1.049973,0.2461308,0.04525675
-1.11627,0.4953924,0.03270558,1.249988,0.2461195,0.0452505
-1.083843,0.4984089,0.03144353,1.449994,0.2461162,0.0452491
-1.060054,0.4991168,0.03138958,1.649997,0.246117,0.04524958
-1.037659,0.4989217,0.03095463,1.849999,0.246118,0.045254
-1.013211,0.4962621,0.02784311,2.049979,0.246055,0.04524511
-1.402158,0.2498396,-0.04002836,0.2492201,0.4498475,0.04683129
-1.315834,0.3415944,-0.005518888,0.4988679,0.4981824,0.0962627
-1.227453,0.4140931,0.006233257,0.6988819,0.4974555,0.09450351
-1.201058,0.4431933,0.0003566066,0.8991783,0.496732,0.09377188
-1.14673,0.4630874,0.003393482,1.099528,0.4963107,0.09354955
-1.125481,0.4895722,-0.00423075,1.299739,0.4961287,0.09346596
-1.09454,0.497647,-0.002032539,1.499855,0.4960658,0.09343431
-1.076743,0.5094922,-0.003151903,1.699919,0.4960557,0.0934285
-1.059998,0.5141158,-0.002435021,1.899948,0.4960364,0.09343009
-1.047893,0.5147542,-0.003981931,2.099979,0.4958014,0.09339863
-1.3362,0.1218498,-0.08327301,0.2494977,0.6499002,0.04649692
-1.282127,0.2264137,-0.03794874,0.4982851,0.698717,0.09465424
-1.195899,0.2984621,0.0056479,0.6979762,0.6977315,0.0916078
-1.169737,0.3384912,0.01516964,0.8985172,0.6970087,0.09049108
-1.128666,0.3660106,0.0181635,1.099147,0.6965292,0.09015221
-1.107661,0.3937286,0.01493438,1.29952,0.6962898,0.09003666
-1.083816,0.4082887,0.01600164,1.499726,0.6961975,0.0899957
-1.068481,0.4200889,0.0137388,1.699843,0.6961788,0.08998901
-1.053909,0.4270231,0.01324626,1.899909,0.696158,0.08999452
-1.039398,0.4291324,0.01124226,2.099968,0.6959876,0.08997774
-1.215825,0.1090767,-0.07340973,0.2493947,0.849938,0.04640358
-1.201799,0.2366361,-0.03744338,0.4975626,0.8991378,0.09393485
-1.134816,0.2924621,-0.00536643,0.6972652,0.8984467,0.09051847
-1.131682,0.3431976,0.004292566,0.8979731,0.8979004,0.08913708
-1.092533,0.370036,0.001047521,1.098808,0.8975394,0.08870478
-1.087798,0.4135093,0.0008830615,1.299315,0.8973397,0.08855639
-1.065762,0.4268846,0.0009243842,1.4996,0.8972575,0.08850505
-1.063344,0.4519788,0.001024024,1.699767,0.8972465,0.08849814
-1.054303,0.4574592,0.0003720967,1.899865,0.8972515,0.0885095
-1.050361,0.4610327,0.0007168964,2.099929,0.8971857,0.08851305
-1.162479,0.06957928,-0.07896673,0.2489469,1.050054,0.04621704
-1.14351,0.184363,-0.04377532,0.497075,1.09952,0.09369846
-1.085001,0.2436489,-0.006805557,0.6967676,1.099132,0.0901802
-1.081503,0.2938789,0.003769226,0.8975976,1.098797,0.08870654
-1.060702,0.3315108,0.002567569,1.098549,1.098553,0.08822382
-1.05707,0.3690939,0.003400856,1.299146,1.098407,0.08805361
-1.048494,0.3924783,0.002654761,1.499492,1.098345,0.08799551
-1.049525,0.4117766,0.002241106,1.699699,1.098343,0.08799061
-1.048235,0.4223896,0.001756008,1.899824,1.098366,0.08800941
-1.048356,0.4219988,0.001427812,2.099897,1.098365,0.08802784
-1.075448,0.07034117,-0.06721831,0.2489217,1.249902,0.04619844
-1.078904,0.1883161,-0.03523227,0.4968816,1.299734,0.09361117
-1.023059,0.2451326,-0.005104207,0.6965018,1.299519,0.09005797
-1.041236,0.3014128,0.006336034,0.8973707,1.29932,0.08855029
-1.014073,0.3360615,0.0001444602,1.098378,1.299164,0.08804493
-1.026599,0.3862113,0.002599293,1.299026,1.299065,0.08786415
-1.017238,0.4030796,0.000359405,1.499414,1.299024,0.08780526
-1.034744,0.4400519,0.001287228,1.69965,1.299031,0.08780765
-1.038031,0.4399813,0.0003752735,1.899794,1.299065,0.08783957
-1.057568,0.4506189,0.0008772138,2.099879,1.299097,0.08787446
-1.012592,0.05610896,-0.06956771,0.2489139,1.450084,0.04619683
-1.012001,0.1636749,-0.03960292,0.4967833,1.499856,0.0935702
-0.9700092,0.2246356,-0.01054695,0.6963744,1.499726,0.09000478
-0.9760994,0.2796634,0.002280654,0.8972476,1.499606,0.08848351
-0.9737808,0.3294692,-0.001360414,1.098278,1.499508,0.0879694
-0.9783156,0.3733219,0.0006600493,1.298955,1.499446,0.0877872
-0.9942778,0.4112863,-0.0006405048,1.49937,1.499424,0.08773611
-1.010393,0.4346749,8.801842e-05,1.699627,1.499441,0.08775766
-1.039921,0.4553654,-0.0003118328,1.899783,1.499488,0.08782107
-1.06705,0.4472169,0.0001324966,2.099871,1.499551,0.08789414
-0.9422417,0.05861235,-0.06313922,0.248945,1.64992,0.04619939
-0.9568314,0.1678882,-0.03389962,0.4967917,1.699912,0.09355909
-0.9078132,0.2277174,-0.00630341,0.6963238,1.69984,0.08998197
-0.935793,0.2901547,0.004815536,0.8971902,1.699768,0.08845528
-0.9201023,0.337535,-0.0004545165,1.098231,1.699709,0.08794065
-0.9447676,0.3966789,0.002614451,1.298927,1.699673,0.08776568
-0.9586795,0.433146,-0.000230022,1.499354,1.699659,0.08774047
-0.993476,0.4771079,5.305737e-05,1.699603,1.699664,0.0878218
-1.035855,0.4919595,-5.550389e-05,1.899742,1.699711,0.08798207
-1.086739,0.497541,0.001136007,2.09982,1.699815,0.08816881
-0.8761341,0.05447895,-0.06196204,0.2493369,1.850003,0.04637089
-0.8880096,0.158187,-0.03346331,0.4968319,1.899952,0.09356123
-0.8504308,0.2228796,-0.009163845,0.6963143,1.899907,0.08997431
-0.8668044,0.2858493,0.003179987,0.8971745,1.899864,0.08844655
-0.8694665,0.3490129,-0.0008102989,1.098226,1.899829,0.08793686
-0.8884058,0.4075755,0.00109032,1.298941,1.899811,0.08777902
-0.9158912,0.4691589,0.0006585171,1.499366,1.899785,0.08781146
-0.9612395,0.5119745,0.0008144889,1.699394,1.899562,0.08811598
-1.022882,0.5575046,-0.0003549818,1.899211,1.89933,0.08864375
-1.111529,0.5509642,-0.001466369,2.099246,1.899388,0.08918031
-0.8098482,0.05608819,-0.05781634,0.2493586,2.05,0.04637828
-0.8284319,0.1598553,-0.0294868,0.4968403,2.099973,0.0935616
-0.7820783,0.225018,-0.006693344,0.6963171,2.099946,0.08997309
-0.8113919,0.2960501,0.004615969,0.8971849,2.09992,0.08844799
-0.800291,0.359785,-0.001051859,1.098255,2.099901,0.08794783
-0.8251425,0.4348477,0.001618892,1.298998,2.099895,0.08781667
-0.8535359,0.502985,0.0003006128,1.499438,2.099852,0.08793762
-0.9026989,0.5766186,0.003507675,1.699207,2.099317,0.08859159
-1.011822,0.6379686,0.0005567892,1.897414,2.097465,0.0908555
-1.14442,0.6857704,-0.01101484,2.0972,2.098412,0.09181363
-0.7408191,0.05472495,-0.05443026,0.2493546,2.25,0.04638011
-0.7579286,0.1547477,-0.02708365,0.4968294,2.299985,0.09356197
-0.7185693,0.2238826,-0.007167273,0.6963232,2.299969,0.0899751
-0.7372682,0.2963758,0.004163025,0.8972141,2.299955,0.08845505
-0.7310721,0.3722298,-0.0009175341,1.098315,2.299945,0.08796635
-0.7457614,0.4540924,0.001226012,1.299103,2.299944,0.08786507
-0.7675803,0.5559006,0.0009144117,1.499599,2.299901,0.0880786
-0.8105095,0.666234,0.006267097,1.699355,2.299362,0.08901598
-0.9200094,0.8108981,0.009311338,1.898679,2.297488,0.09145749
-1.100215,0.7579906,-0.0140508,2.045769,2.245509,0.04169261
-0.6753069,0.05490042,-0.04997771,0.2493,2.449989,0.04637343
-0.6937728,0.1535945,-0.02370692,0.4967558,2.499995,0.0935511
-0.6460135,0.2207996,-0.006975001,0.6963176,2.499984,0.08997628
-0.6638608,0.2960912,0.004691024,0.8972562,2.499976,0.08846434
-0.6424797,0.3694024,-0.001093525,1.098407,2.499973,0.0879874
-0.6400829,0.4619988,0.002459428,1.299264,2.499976,0.08791184
-0.6329177,0.5630242,0.0001248632,1.499854,2.499956,0.0881959
-0.6051983,0.7098148,0.01037447,1.699606,2.499729,0.08937281
-0.6254964,0.9394929,0.01401967,1.898407,2.499592,0.09307896
-0.8354023,1.246592,0.03842555,2.044523,2.448428,0.04285259
-0.6094418,0.05080935,-0.04508677,0.2485724,2.650054,0.04609285
-0.6255152,0.1452474,-0.02054477,0.4965197,2.700014,0.09350326
-0.5797707,0.2115858,-0.006619646,0.696291,2.699995,0.08997371
-0.5881685,0.2835823,0.00397628,0.8973078,2.699991,0.08847432
-0.5630105,0.3562684,-0.00139674,1.098529,2.699992,0.0880092
-0.5499624,0.4394154,0.001041952,1.299485,2.700001,0.08795509
-0.5186635,0.5297403,-0.0005116772,1.500225,2.700013,0.08828968
-0.4731143,0.6464443,0.008402662,1.700107,2.700026,0.08961711
-0.4004176,0.7661303,0.007198263,1.899147,2.699987,0.09328678
-0.2562874,0.974826,0.0141439,2.044701,2.648935,0.0430701
-0.5477697,0.05129177,-0.03862217,0.2466636,2.849993,0.04544043
-0.5617444,0.1382163,-0.01792659,0.4963684,2.899995,0.09347204
-0.5135593,0.1999378,-0.006430089,0.6962968,2.899997,0.08997529
-0.5198817,0.268969,0.003962937,0.8973773,2.899998,0.08848552
-0.4854474,0.3349897,-0.001392883,1.098673,2.900004,0.08803187
-0.464974,0.4120449,0.0009245949,1.299754,2.900018,0.08799913
-0.4199141,0.4893608,-0.001560096,1.500719,2.900052,0.08837995
-0.3627831,0.5766582,0.006494347,1.701046,2.900128,0.08979473
-0.2857017,0.6389435,-0.005196141,1.90047,2.900178,0.09347541
-0.1651726,0.7691711,0.01712091,2.044988,2.849001,0.04304052
-0.4896413,0.05100299,-0.03517439,0.2479974,3.049933,0.04590947
-0.4993133,0.1277145,-0.01606884,0.4965852,3.099987,0.09351823
