U:0,U:1,U:2,Points:0,Points:1,Points:2
-1.772531,0.4042638,0.02100263,0.2475883,0.249217,0.04792589
-1.606146,0.4482863,0.04302712,0.4499512,0.249349,0.04685659
-1.498649,0.490356,0.04502192,0.6499784,0.2487886,0.04620617
-1.441756,0.4987586,0.04197086,0.8499025,0.2471862,0.04564127
-1.399401,0.4989338,0.04570723,1.050014,0.2482126,0.0459526
-1.364068,0.5065444,0.0322259,1.249972,0.2465083,0.04538616
-1.331045,0.5090852,0.03938184,1.449981,0.2468084,0.04550193
-1.325875,0.5039521,0.04233468,1.649996,0.2485579,0.04608224
-1.301458,0.5148357,0.03263412,1.850005,0.2467892,0.04549649
-1.288897,0.5168703,0.03246018,2.049988,0.2461755,0.04526933
-1.277669,0.517153,0.03234548,2.249998,0.2461417,0.04526183
-1.267307,0.5165531,0.03219823,2.449999,0.2461557,0.04527302
-1.630689,0.2576772,-0.04217766,0.2479547,0.4500746,0.04638918
-1.552056,0.3640657,-0.008280713,0.4985641,0.4988273,0.09631301
-1.471139,0.426443,0.007322934,0.6988182,0.4979948,0.09459947
-1.445458,0.4502918,0.0006492322,0.899146,0.4971553,0.09385477
-1.395838,0.4738751,0.002588903,1.099529,0.4966727,0.09362054
-1.376858,0.4961467,-0.002663339,1.299735,0.4963268,0.09349986
-1.35052,0.5074526,-0.0009466926,1.499832,0.4963657,0.09348449
-1.338388,0.5212528,-0.00212712,1.699921,0.4964264,0.09348489
-1.325573,0.5277354,-0.001551197,1.899961,0.4962046,0.09343578
-1.31724,0.5319172,-0.001489213,2.099973,0.4960965,0.09342094
-1.309322,0.5337342,-0.001521098,2.299985,0.4961147,0.09343676
-1.301615,0.5331838,-0.001781585,2.49999,0.49615,0.09344963
-1.571183,0.1189351,-0.09590107,0.2475935,0.6500401,0.04584574
-1.523262,0.2342136,-0.04305457,0.4978303,0.6988644,0.09456668
-1.437933,0.307232,0.005407034,0.6978452,0.6978922,0.09160669
-1.414464,0.3463457,0.0154892,0.8984709,0.6971423,0.09050137
-1.375749,0.3755015,0.01785777,1.099131,0.6966258,0.0901584
-1.357732,0.4034685,0.01563528,1.299509,0.6963404,0.09003228
-1.338758,0.4198581,0.01704322,1.499711,0.6962364,0.08998304
-1.328351,0.4359265,0.01498232,1.699832,0.6961997,0.08996511
-1.320327,0.4469221,0.01513606,1.899902,0.6961637,0.08995984
-1.315198,0.4523482,0.01453706,2.099942,0.6961677,0.08996987
-1.311029,0.4540413,0.01438137,2.299967,0.6962135,0.08999
-1.306011,0.4515809,0.01437061,2.49998,0.6962549,0.09000507
-1.446487,0.1105317,-0.07481304,0.2477701,0.8498817,0.04581717
-1.43962,0.2468684,-0.04355793,0.4970994,0.8991696,0.09383573
-1.380308,0.3042051,-0.005614587,0.6971118,0.8984894,0.09049727
-1.375506,0.3525895,0.003816331,0.8979175,0.8979319,0.08912938
-1.340262,0.3838254,0.000662665,1.098784,0.897549,0.08869427
-1.335213,0.4253619,0.00102854,1.299297,0.8973185,0.08853601
-1.316798,0.4432111,0.001107393,1.499582,0.8972052,0.08847031
-1.316651,0.4717485,0.001208989,1.699748,0.8971618,0.08844706
-1.31119,0.4822168,0.0007250662,1.899848,0.8971601,0.08844785
-1.312656,0.4922241,0.0007556528,2.099909,0.8971977,0.0884657
-1.312638,0.4938778,0.0004627496,2.299947,0.897258,0.08849099
-1.312661,0.4906728,0.0005227517,2.499968,0.8973052,0.08850971
-1.403448,0.07180701,-0.08727768,0.2469169,1.050012,0.04554339
-1.384711,0.1924768,-0.04978328,0.4966395,1.099522,0.09360417
-1.326903,0.2538881,-0.007589991,0.6966235,1.099136,0.09015651
-1.324513,0.303964,0.003777289,0.8975409,1.098792,0.08869326
-1.304469,0.3430576,0.002849883,1.09852,1.098531,0.08820588
-1.301238,0.3824652,0.003338973,1.299121,1.098358,0.08802317
-1.294903,0.4088341,0.002683414,1.499466,1.098262,0.08794592
-1.297919,0.4340233,0.00240728,1.699672,1.098224,0.08791913
-1.300567,0.4506882,0.001965451,1.899799,1.098231,0.0879222
-1.30783,0.4599586,0.001803402,2.099878,1.098274,0.08794522
-1.315865,0.4613844,0.001862121,2.299928,1.098335,0.08797636
-1.321962,0.4545077,0.001809512,2.499957,1.098383,0.08800015
-1.31288,0.06956117,-0.07464037,0.2478875,1.249907,0.04586219
-1.316424,0.197413,-0.04110414,0.4965641,1.299731,0.09354274
-1.267474,0.2573621,-0.004393443,0.6963834,1.299512,0.0900362
-1.28311,0.3110322,0.006067451,0.8973176,1.299304,0.08853398
-1.258044,0.350433,0.0001367629,1.098343,1.299132,0.08802072
-1.268518,0.4000423,0.002311454,1.298992,1.29901,0.08782342
-1.260842,0.4246194,0.0003512776,1.499376,1.298937,0.08773943
-1.276507,0.4655734,0.0008833747,1.699611,1.298907,0.08771138
-1.282719,0.4766046,2.370103e-05,1.89976,1.298916,0.08771778
-1.303189,0.496928,-4.302943e-05,2.099854,1.298957,0.08774732
-1.317542,0.4945991,1.577307e-05,2.299914,1.299012,0.08778679
-1.335118,0.4865927,6.546168e-05,2.499949,1.29906,0.08781835
-1.257113,0.05634501,-0.07794243,0.2476349,1.450104,0.0457929
-1.253629,0.1716967,-0.0481532,0.496541,1.49985,0.09351745
-1.21086,0.2347331,-0.01128423,0.6962863,1.499716,0.08998593
-1.217363,0.2899805,0.002131089,0.8971985,1.499587,0.08846421
-1.213263,0.3397244,-0.001360947,1.098235,1.499475,0.08793799
-1.218177,0.3875334,0.001097585,1.298906,1.499392,0.08773326
-1.230785,0.4266664,0.0005240284,1.499313,1.49934,0.08764678
-1.247325,0.4603392,0.0002803307,1.699569,1.49932,0.08762075
-1.269698,0.486374,-0.0002443982,1.899733,1.499331,0.08763396
-1.299827,0.5016885,0.0002739248,2.09984,1.499369,0.0876748
-1.328151,0.5007614,0.0001992475,2.299908,1.499424,0.0877291
-1.359088,0.4872748,0.0004659855,2.499947,1.499478,0.08777601
-1.18536,0.05640043,-0.07086648,0.2486779,1.649931,0.04610126
-1.195653,0.1775812,-0.04119562,0.496685,1.699905,0.09353758
-1.150559,0.2387934,-0.005786781,0.6962656,1.69983,0.08996638
-1.176695,0.2977198,0.004935955,0.8971426,1.69975,0.0884327
-1.160616,0.3492051,-0.0003331251,1.098176,1.699678,0.08790026
-1.182254,0.4071206,0.002818892,1.298856,1.699622,0.08769298
-1.190772,0.4476789,0.000116804,1.499277,1.699588,0.08760814
-1.218709,0.4968379,0.0002583383,1.699547,1.699578,0.08758879
-1.248117,0.5270828,-0.0004830836,1.899724,1.699594,0.08761591
-1.290901,0.5486419,-0.0001326175,2.099841,1.699634,0.08768095
